Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Haliburton,35:43,8,17,.471,2,10,.200,4,4,1.000,1,4,5,23,2,1,2,0,22,+19,35:43,.586,.529,.588,.235,4.0,12.8,8.8,78.8,2.7,2.3,9.6,25.3,157,123,13.2
Andrew Nembhard,33:29,5,10,.500,2,4,.500,2,2,1.000,3,2,5,5,2,0,4,4,14,+20,33:29,.643,.600,.400,.200,12.6,6.8,9.4,16.7,2.8,0.0,26.9,19.3,118,125,-3.2
Myles Turner,30:55,10,17,.588,6,8,.750,2,3,.667,1,7,8,2,0,0,1,0,28,+17,30:55,.764,.765,.471,.176,4.6,25.9,16.3,9.0,0.0,0.0,5.2,27.2,139,126,6.3
Aaron Nesmith,30:37,8,13,.615,7,11,.636,2,2,1.000,0,1,1,2,1,0,2,2,25,+10,30:37,.901,.885,.846,.154,0.0,3.7,2.1,8.4,1.6,0.0,12.6,22.6,139,130,7.2
Jalen Smith,20:46,3,5,.600,1,2,.500,2,4,.500,0,4,4,2,0,2,1,5,9,+3,20:46,.666,.700,.400,.800,0.0,22.0,12.2,10.7,0.0,8.0,12.9,16.3,122,122,-2.7
Bennedict Mathurin,25:32,7,10,.700,3,5,.600,3,3,1.000,0,0,0,0,0,0,2,0,20,+11,25:32,.883,.850,.500,.300,0.0,0.0,0.0,0.0,0.0,0.0,15.0,22.7,132,135,0.2
Obi Toppin,19:56,4,6,.667,1,1,1.000,0,1,.000,2,6,8,2,0,3,0,4,9,+2,19:56,.699,.750,.167,.167,14.2,34.4,25.3,11.9,0.0,12.5,0.0,14.1,157,115,6.3
Buddy Hield,18:19,2,3,.667,1,2,.500,1,1,1.000,0,2,2,1,1,0,1,1,6,+4,18:19,.872,.833,.667,.333,0.0,12.5,6.9,5.9,2.6,0.0,22.5,10.6,130,124,-0.2
T.J. McConnell,12:17,2,3,.667,0,0,,1,1,1.000,0,0,0,3,0,0,2,0,5,-5,12:17,.727,.667,.000,.333,0.0,0.0,0.0,27.8,0.0,0.0,36.8,19.3,113,135,-7.9
Isaiah Jackson,9:11,1,1,1.000,0,0,,0,0,,0,1,1,0,0,1,1,2,2,-2,9:11,1.000,1.000,.000,.000,0.0,12.4,6.9,0.0,0.0,9.0,50.0,9.5,69,125,-8.4
Jordan Nwora,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,1:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-6.5
Ben Sheppard,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,1:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-5.6
Jarace Walker,1:05,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3,1:05,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,135,-6.2
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,50,85,.588,23,43,.535,17,21,.810,7,27,34,40,6,7,16,18,140,,240,.743,.724,.506,.247,20.6,64.3,44.7,80.0,6.0,12.1,14.5,100.0,139.0,125.1,
