Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kyle Kuzma,33:33,15,31,.484,7,18,.389,1,1,1.000,2,6,8,5,0,0,2,4,38,0,33:33,.604,.597,.581,.032,5.5,17.9,11.4,29.2,0.0,0.0,6.0,41.2,111,122,4.7
Deni Avdija,31:12,5,9,.556,2,6,.333,5,8,.625,1,11,12,2,1,1,3,5,17,+14,31:12,.679,.667,.667,.889,3.0,35.3,18.5,8.0,1.4,2.4,19.3,20.5,109,113,-3.2
Jordan Poole,28:44,6,14,.429,1,7,.143,0,0,,0,3,3,6,0,1,0,3,13,+6,28:44,.464,.464,.500,.000,0.0,10.4,5.0,27.9,0.0,2.7,0.0,20.1,106,122,-5.3
Daniel Gafford,28:20,3,4,.750,0,0,,4,4,1.000,2,7,9,0,2,4,0,2,10,+13,28:20,.868,.750,.000,1.000,6.5,24.7,15.2,0.0,3.1,10.8,0.0,8.4,186,107,3.2
Tyus Jones,27:25,5,11,.455,3,7,.429,1,1,1.000,0,0,0,8,1,1,1,1,14,+5,27:25,.612,.591,.636,.091,0.0,0.0,0.0,37.6,1.6,2.8,8.0,18.7,127,122,2.6
Mike Muscala,19:32,4,8,.500,2,5,.400,0,0,,0,4,4,3,0,0,0,1,10,-16,19:32,.625,.625,.625,.000,0.0,20.5,9.8,20.4,0.0,0.0,0.0,16.9,126,122,2.2
Landry Shamet,18:31,2,6,.333,0,2,.000,0,0,,0,2,2,2,1,2,0,1,4,-11,18:31,.333,.333,.333,.000,0.0,10.8,5.2,12.7,2.4,8.2,0.0,13.4,81,114,-3.8
Delon Wright,17:41,1,2,.500,1,2,.500,0,0,,0,0,0,2,0,0,3,2,3,-9,17:41,.750,.750,1.000,.000,0.0,0.0,0.0,12.5,0.0,0.0,60.0,11.7,65,127,-14.8
Corey Kispert,17:37,5,10,.500,1,5,.200,4,5,.800,0,0,0,4,0,0,0,0,15,-4,17:37,.615,.550,.500,.500,0.0,0.0,0.0,33.7,0.0,0.0,0.0,28.6,132,128,3.8
Bilal Coulibaly,17:25,0,3,.000,0,1,.000,2,2,1.000,1,3,4,3,0,0,0,2,2,-18,17:25,.258,.000,.333,.667,5.3,17.2,11.0,18.0,0.0,0.0,0.0,9.2,104,122,-8.0
Jules Bernard,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Johnny Davis,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Anthony Gill,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Eugene Omoruyi,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Ryan Rollins,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,98,.469,17,53,.321,17,21,.810,6,36,42,35,5,9,9,21,126,,240,.587,.556,.541,.214,11.5,75.0,42.0,76.1,4.6,14.3,7.7,100.0,115.6,119.3,
