Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
De'Aaron Fox,34:16,9,23,.391,3,8,.375,3,5,.600,1,3,4,4,0,1,1,3,24,+20,34:16,.476,.457,.348,.217,3.3,8.2,6.0,16.3,0.0,3.3,3.8,32.9,104,92,-2.1
Domantas Sabonis,31:52,5,11,.455,0,1,.000,3,5,.600,2,19,21,12,1,0,3,4,13,+17,31:52,.492,.455,.091,.455,7.2,56.1,34.0,45.8,1.5,0.0,18.5,21.9,119,89,11.2
Keegan Murray,26:20,4,9,.444,2,4,.500,0,0,,1,2,3,1,0,0,1,1,10,+13,26:20,.556,.556,.444,.000,4.3,7.1,5.9,4.6,0.0,0.0,10.0,16.4,107,95,-2.2
Chris Duarte,26:07,2,6,.333,1,2,.500,2,2,1.000,1,5,6,0,0,0,1,2,7,+11,26:07,.509,.417,.333,.333,4.4,18.0,11.9,0.0,0.0,0.0,12.7,13.0,99,95,-5.0
Harrison Barnes,19:55,4,8,.500,2,5,.400,1,1,1.000,0,2,2,0,0,1,1,2,11,+8,19:55,.652,.625,.625,.125,0.0,9.5,5.2,0.0,0.0,5.7,10.6,20.4,111,90,0.4
Malik Monk,21:01,10,13,.769,4,5,.800,3,3,1.000,0,4,4,5,0,0,0,1,27,+16,21:01,.943,.923,.385,.231,0.0,17.9,9.8,47.3,0.0,0.0,0.0,29.3,191,95,30.6
Trey Lyles,18:54,4,4,1.000,3,3,1.000,1,1,1.000,0,3,3,0,1,0,1,1,12,+17,18:54,1.351,1.375,.750,.250,0.0,14.9,8.2,0.0,2.5,0.0,18.4,12.4,187,89,14.9
Kevin Huerter,16:46,4,9,.444,1,3,.333,0,0,,0,0,0,0,0,0,0,1,9,+16,16:46,.500,.500,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.1,99,95,-6.2
Davion Mitchell,14:19,4,4,1.000,0,0,,0,0,,0,2,2,4,0,0,0,2,8,+11,14:19,1.000,1.000,.000,.000,0.0,13.1,7.2,39.9,0.0,0.0,0.0,12.0,210,94,13.3
Alex Len,12:22,0,1,.000,0,0,,0,0,,4,5,9,1,0,1,2,3,0,+10,12:22,.000,.000,.000,.000,37.0,38.1,37.6,8.3,0.0,9.2,66.7,10.4,90,85,-7.1
Kessler Edwards,3:46,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,+4,3:46,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,0,96,-28.0
Keon Ellis,3:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,+4,3:46,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,94,-9.6
JaVale McGee,3:46,0,0,,0,0,,0,0,,0,2,2,0,0,1,2,1,0,+4,3:46,,,,,0.0,50.0,27.4,0.0,0.0,30.3,100.0,22.9,0,65,-20.9
Sasha Vezenkov,3:25,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,0,0,2,+2,3:25,,,,,0.0,55.1,30.2,29.9,0.0,0.0,,0.0,234,93,14.1
Juan Toscano-Anderson,3:25,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,+2,3:25,.500,.500,.000,.000,0.0,27.5,15.1,0.0,0.0,0.0,0.0,25.2,98,95,-4.1
Team Totals,240,47,92,.511,16,33,.485,13,17,.765,9,50,59,28,2,4,12,22,123,,240,.618,.598,.359,.185,21.4,98.0,63.4,59.6,2.0,9.5,10.8,100.0,122.6,91.7,
