Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Donovan Mitchell,37:59,8,21,.381,4,9,.444,6,6,1.000,1,6,7,7,4,0,3,4,26,+7,37:59,.550,.476,.429,.286,2.9,16.1,9.8,26.9,4.9,0.0,11.3,30.8,109,114,4.5
Max Strus,37:21,2,7,.286,2,5,.400,0,0,,0,6,6,3,1,1,3,4,6,+9,37:21,.429,.429,.714,.000,0.0,16.4,8.6,9.5,1.3,2.3,30.0,11.7,70,120,-7.1
Jarrett Allen,33:37,5,11,.455,0,0,,6,8,.750,3,8,11,4,1,0,0,4,16,-3,33:37,.551,.455,.000,.727,10.0,24.3,17.5,15.9,1.4,0.0,0.0,18.9,132,120,1.2
Isaac Okoro,27:26,5,10,.500,0,4,.000,6,7,.857,0,1,1,3,2,1,1,4,16,-18,27:26,.612,.500,.400,.700,0.0,3.7,1.9,15.3,3.4,3.1,7.1,22.5,123,118,1.9
Dean Wade,20:44,1,2,.500,0,1,.000,0,0,,0,3,3,0,1,0,0,2,2,+5,20:44,.500,.500,.500,.000,0.0,14.8,7.7,0.0,2.3,0.0,0.0,4.2,97,120,-4.9
Caris LeVert,29:19,12,20,.600,2,7,.286,5,5,1.000,0,4,4,4,0,0,0,0,31,+1,29:19,.698,.650,.350,.250,0.0,13.9,7.3,28.0,0.0,0.0,0.0,33.2,142,126,10.2
Sam Merrill,16:53,6,11,.545,4,8,.500,0,0,,0,3,3,1,0,0,1,2,16,-2,16:53,.727,.727,.727,.000,0.0,18.1,9.5,11.0,0.0,0.0,8.3,31.2,120,124,6.1
Georges Niang,16:15,4,5,.800,0,1,.000,0,0,,0,4,4,2,0,0,1,5,8,-3,16:15,.800,.800,.200,.000,0.0,25.1,13.1,18.9,0.0,0.0,16.7,16.2,132,122,-2.0
Tristan Thompson,14:21,0,0,,0,0,,0,0,,2,1,3,1,0,0,0,3,0,0,14:21,,,,,15.6,7.1,11.1,7.8,0.0,0.0,,0.0,227,126,-5.7
Craig Porter Jr.,6:05,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,0,1,0,-11,6:05,.000,.000,.500,.000,0.0,16.8,8.8,0.0,0.0,0.0,0.0,14.4,0,124,-23.9
Ty Jerome,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team
Damian Jones,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,89,.483,12,36,.333,23,26,.885,6,37,43,25,9,2,9,29,121,,240,.602,.551,.404,.292,14.0,78.7,47.8,58.1,8.8,3.5,8.2,100.0,117.9,120.8,
