Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Miles Bridges,40:07,9,18,.500,3,6,.500,6,6,1.000,0,5,5,3,1,2,3,0,27,+9,40:07,.654,.583,.333,.333,0.0,13.0,7.2,11.5,1.2,4.3,12.7,27.1,115,106,2.2
Terry Rozier,36:18,13,24,.542,3,11,.273,5,6,.833,0,3,3,6,1,2,2,3,34,-1,36:18,.638,.604,.458,.250,0.0,8.6,4.8,32.0,1.3,4.7,7.0,36.3,123,106,7.2
Cody Martin,32:46,4,10,.400,1,5,.200,1,2,.500,0,2,2,2,1,0,1,2,10,-8,32:46,.460,.450,.500,.200,0.0,6.4,3.5,8.1,1.5,0.0,8.4,16.7,90,110,-8.4
Nick Richards,26:04,3,4,.750,0,0,,1,2,.500,1,9,10,1,1,2,2,2,7,+2,26:04,.717,.750,.000,.500,5.0,36.0,22.2,5.0,1.8,6.6,29.1,12.1,107,93,-1.3
Bryce McGowens,21:22,1,3,.333,0,2,.000,2,3,.667,1,1,2,2,0,0,0,1,4,+1,21:22,.463,.333,.667,1.000,6.1,4.9,5.4,11.3,0.0,0.0,0.0,9.3,124,114,-5.8
P.J. Washington,29:04,7,13,.538,3,6,.500,0,0,,1,3,4,4,1,0,1,1,17,+16,29:04,.654,.654,.462,.000,4.5,10.8,8.0,21.7,1.7,0.0,7.1,22.2,127,108,4.6
Ish Smith,18:15,2,4,.500,0,0,,0,0,,1,5,6,4,1,0,4,1,4,+13,18:15,.500,.500,.000,.000,7.1,28.6,19.0,28.6,2.6,0.0,50.0,20.2,78,98,-7.9
Nathan Mensah,15:43,0,1,.000,0,0,,0,0,,0,1,1,0,2,2,1,4,0,-7,15:43,.000,.000,.000,.000,0.0,6.6,3.7,0.0,6.1,10.9,50.0,5.9,0,92,-6.4
Nick Smith Jr.,14:08,2,3,.667,2,3,.667,0,0,,0,0,0,1,0,2,0,1,6,-2,14:08,1.000,1.000,1.000,.000,0.0,0.0,0.0,9.6,0.0,12.1,0.0,9.8,188,109,10.7
JT Thor,6:13,1,2,.500,0,1,.000,0,0,,0,2,2,0,0,0,0,0,2,+12,6:13,.500,.500,.500,.000,0.0,33.6,18.6,0.0,0.0,0.0,0.0,14.8,95,102,-6.4
James Bouknight,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Brandon Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,82,.512,12,34,.353,15,19,.789,4,31,35,23,8,10,14,15,111,,240,.614,.585,.415,.232,10.8,67.4,42.2,54.8,8.0,17.9,13.4,100.0,111.2,104.2,
