Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bojan Bogdanović,42:34,13,26,.500,8,15,.533,2,2,1.000,1,6,7,5,1,0,1,6,36,-5,42:34,.670,.654,.577,.077,2.8,15.9,9.6,15.6,1.1,0.0,3.6,26.4,147,137,3.9
Cade Cunningham,39:37,12,21,.571,3,7,.429,4,5,.800,0,5,5,13,1,0,6,5,31,-13,39:37,.668,.643,.333,.238,0.0,14.2,7.4,43.5,1.2,0.0,20.5,29.7,128,137,1.0
Isaiah Livers,36:29,4,7,.571,1,4,.250,1,1,1.000,3,1,4,0,2,0,1,4,10,-13,36:29,.672,.643,.571,.143,9.9,3.1,6.4,0.0,2.6,0.0,11.8,9.3,136,138,-3.7
Jalen Duren,36:11,6,7,.857,0,0,,5,5,1.000,4,6,10,3,0,1,2,0,17,-14,36:11,.924,.857,.000,.714,13.3,18.7,16.1,9.3,0.0,2.1,17.9,12.5,166,138,2.8
Jaden Ivey,21:45,4,8,.500,2,3,.667,1,2,.500,0,1,1,2,0,0,2,2,11,0,21:45,.619,.625,.375,.250,0.0,5.2,2.7,10.5,0.0,0.0,18.4,20.1,111,143,-8.0
Alec Burks,34:14,9,17,.529,5,9,.556,4,5,.800,0,4,4,1,0,0,2,4,27,-12,34:14,.703,.676,.529,.294,0.0,13.2,6.8,3.7,0.0,0.0,9.4,24.9,134,141,-2.4
James Wiseman,16:46,4,7,.571,0,0,,0,0,,5,4,9,0,0,0,3,1,8,+11,16:46,.571,.571,.000,.000,35.9,26.9,31.3,0.0,0.0,0.0,30.0,24.0,101,137,-13.0
Killian Hayes,13:26,1,3,.333,0,0,,0,0,,0,4,4,6,0,1,0,2,2,+4,13:26,.333,.333,.000,.000,0.0,33.6,17.3,45.5,0.0,5.6,0.0,9.0,152,131,3.2
Kevin Knox,12:51,2,5,.400,0,2,.000,0,0,,1,0,1,2,0,0,0,1,4,+6,12:51,.400,.400,.400,.000,9.4,0.0,4.5,17.3,0.0,0.0,0.0,15.7,123,144,-7.6
Ausar Thompson,11:07,1,4,.250,0,1,.000,0,2,.000,2,1,3,1,1,1,0,2,2,+6,11:07,.205,.250,.250,.500,21.7,10.1,15.7,9.3,4.3,6.7,0.0,17.7,87,127,-9.1
Marvin Bagley III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Joe Harris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Marcus Sasser,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,265,56,105,.533,19,41,.463,17,22,.773,16,32,48,33,5,3,17,27,148,,265,.645,.624,.390,.210,36.4,68.1,52.7,58.9,4.5,4.2,12.9,100.0,132.3,137.7,
