Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaime Jaquez Jr.,39:03,7,14,.500,2,6,.333,0,0,,0,0,0,8,1,1,2,1,16,+24,39:03,.571,.571,.429,.000,0.0,0.0,0.0,30.4,1.2,2.3,12.5,18.1,112,102,2.4
Bam Adebayo,38:10,5,14,.357,0,1,.000,5,6,.833,3,4,7,5,3,0,2,4,15,+12,38:10,.451,.357,.071,.429,7.9,12.3,9.9,18.1,3.7,0.0,10.7,21.6,102,95,-2.0
Nikola Jović,28:05,6,11,.545,3,5,.600,0,0,,1,7,8,1,1,0,0,4,15,+3,28:05,.682,.682,.455,.000,3.6,29.2,15.4,5.6,1.7,0.0,0.0,17.3,130,95,3.4
Tyler Herro,27:52,7,19,.368,4,8,.500,3,3,1.000,0,6,6,4,3,0,2,3,21,+5,27:52,.517,.474,.421,.158,0.0,25.2,11.6,23.8,5.1,0.0,9.0,35.4,98,89,5.4
Kyle Lowry,25:52,3,6,.500,2,5,.400,2,2,1.000,0,3,3,6,4,0,1,2,10,+6,25:52,.727,.667,.833,.333,0.0,13.6,6.3,31.4,7.3,0.0,12.7,13.5,142,87,12.4
Duncan Robinson,29:59,5,14,.357,3,12,.250,0,0,,0,0,0,2,1,0,1,3,13,0,29:59,.464,.464,.857,.000,0.0,0.0,0.0,9.7,1.6,0.0,6.7,22.1,87,102,-6.3
Kevin Love,27:53,4,7,.571,0,1,.000,2,6,.333,3,11,14,3,1,1,0,3,10,+11,27:53,.519,.571,.143,.857,10.8,46.2,27.1,15.1,1.7,3.2,0.0,15.3,126,89,2.8
Josh Richardson,20:30,4,7,.571,2,3,.667,0,0,,0,1,1,1,0,1,0,3,10,+9,20:30,.714,.714,.429,.000,0.0,5.7,2.6,7.4,0.0,4.4,0.0,15.1,133,102,1.7
Jamal Cain,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,106,-8.1
R.J. Hampton,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,106,-8.1
Orlando Robinson,0:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:39,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,106,-9.3
Cole Swider,0:39,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,0:39,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.1,0,106,-67.2
Thomas Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,93,.441,16,42,.381,12,17,.706,7,32,39,30,14,3,8,23,110,,240,.547,.527,.452,.183,14.6,78.0,43.8,73.2,13.9,5.7,7.4,100.0,108.9,95.0,
