Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Saddiq Bey,35:37,3,12,.250,2,8,.250,2,2,1.000,2,6,8,2,0,1,0,2,10,+6,35:37,.388,.333,.667,.167,6.3,18.8,12.5,6.1,0.0,2.5,0.0,14.4,111,135,-6.5
Dejounte Murray,35:24,8,18,.444,2,5,.400,4,4,1.000,2,4,6,6,0,0,3,2,22,+4,35:24,.557,.500,.278,.222,6.3,12.6,9.5,21.9,0.0,0.0,13.2,25.6,120,138,-4.1
Trae Young,33:57,6,13,.462,2,9,.222,10,11,.909,0,4,4,11,2,0,6,2,24,-9,33:57,.673,.538,.692,.846,0.0,13.2,6.6,39.4,2.7,0.0,25.2,28.0,123,132,1.7
Jalen Johnson,28:56,11,18,.611,2,4,.500,4,4,1.000,1,6,7,3,4,0,1,5,28,-1,28:56,.709,.667,.222,.222,3.9,23.1,13.5,16.7,6.4,0.0,4.8,28.6,147,122,11.4
Clint Capela,25:16,5,8,.625,0,0,,2,2,1.000,7,7,14,0,0,3,0,2,12,-9,25:16,.676,.625,.000,.250,30.9,30.9,30.9,0.0,0.0,10.4,0.0,14.0,169,127,3.0
Bogdan Bogdanović,27:44,7,16,.438,5,11,.455,4,4,1.000,0,1,1,4,1,0,0,2,23,+11,27:44,.648,.594,.688,.250,0.0,4.0,2.0,19.3,1.7,0.0,0.0,25.5,151,136,6.2
Onyeka Okongwu,22:01,3,4,.750,0,0,,5,5,1.000,3,4,7,0,1,0,0,2,11,+14,22:01,.887,.750,.000,1.250,15.2,20.3,17.7,0.0,2.1,0.0,0.0,11.2,200,132,3.0
Garrison Mathews,16:46,2,3,.667,1,2,.500,0,1,.000,0,0,0,2,0,0,1,1,5,-8,16:46,.727,.833,.667,.333,0.0,0.0,0.0,13.5,0.0,0.0,22.5,10.5,118,140,-2.9
Trent Forrest,14:19,3,3,1.000,0,0,,0,0,,0,2,2,2,0,1,0,3,6,+7,14:19,1.000,1.000,.000,.000,0.0,15.6,7.8,17.7,0.0,6.1,0.0,8.3,207,133,4.5
Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
AJ Griffin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Seth Lundy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Wesley Matthews,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Patty Mills,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,95,.505,14,39,.359,31,33,.939,15,34,49,30,8,5,11,21,141,,240,.644,.579,.411,.347,34.9,79.1,57.0,62.5,7.7,9.1,9.1,100.0,136.3,133.4,
