Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Desmond Bane,37:45,9,18,.500,2,6,.333,2,2,1.000,2,2,4,8,0,0,0,4,22,+5,37:45,.583,.556,.333,.111,5.3,6.2,5.7,35.6,0.0,0.0,0.0,21.4,136,122,3.5
Jaren Jackson Jr.,36:44,7,18,.389,4,8,.500,6,6,1.000,1,3,4,0,1,4,3,1,24,+5,36:44,.581,.500,.444,.333,2.7,9.6,5.9,0.0,1.3,8.9,12.7,27.5,102,111,2.1
Ja Morant,34:53,10,18,.556,3,6,.500,5,6,.833,1,7,8,9,1,0,2,1,28,-7,34:53,.678,.639,.333,.333,2.9,23.5,12.4,47.2,1.4,0.0,8.8,27.7,137,116,12.3
Marcus Smart,33:06,2,10,.200,0,5,.000,2,3,.667,0,5,5,2,1,0,3,4,6,+11,33:06,.265,.200,.500,.300,0.0,17.7,8.1,7.8,1.4,0.0,20.9,18.5,52,117,-17.6
Xavier Tillman Sr.,23:27,2,3,.667,0,0,,0,0,,2,3,5,2,0,0,0,3,4,-15,23:27,.667,.667,.000,.000,8.5,15.0,11.5,11.4,0.0,0.0,0.0,5.5,165,121,-2.4
Santi Aldama,21:34,2,6,.333,2,4,.500,1,2,.500,1,7,8,3,1,0,1,4,7,+2,21:34,.509,.500,.667,.333,4.6,38.0,20.0,18.8,2.2,0.0,12.7,15.6,108,112,0.1
Luke Kennard,18:49,1,5,.200,0,4,.000,0,0,,0,1,1,0,0,0,0,1,2,-17,18:49,.200,.200,.800,.000,0.0,6.2,2.9,0.0,0.0,0.0,0.0,11.4,43,122,-16.8
Ziaire Williams,18:08,7,12,.583,4,7,.571,0,0,,2,4,6,0,1,0,0,1,18,-1,18:08,.750,.750,.583,.000,11.0,25.8,17.8,0.0,2.6,0.0,0.0,28.3,142,113,17.0
John Konchar,8:03,0,2,.000,0,0,,0,0,,0,2,2,1,2,1,1,0,0,+2,8:03,.000,.000,.000,.000,0.0,29.1,13.4,14.9,11.9,10.1,33.3,15.9,20,83,2.3
David Roddy,7:30,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-10,7:30,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0,124,-18.8
Bismack Biyombo,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Derrick Rose,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,94,.426,15,42,.357,16,19,.842,9,34,43,25,7,5,10,19,111,,240,.542,.505,.447,.202,18.8,82.9,48.3,62.5,7.0,8.5,8.9,100.0,110.7,115.7,
