Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bojan Bogdanović,35:38,5,19,.263,2,8,.250,0,0,,2,3,5,3,2,0,1,0,12,-7,35:38,.316,.316,.421,.000,5.6,10.9,7.9,10.8,2.7,0.0,5.0,23.8,77,115,-8.1
Cade Cunningham,35:29,13,22,.591,1,7,.143,3,3,1.000,0,5,5,3,0,1,2,2,30,-7,35:29,.643,.614,.318,.136,0.0,18.3,8.0,15.4,0.0,3.1,7.9,30.2,120,118,3.2
Jalen Duren,32:46,6,6,1.000,0,0,,1,2,.500,4,8,12,2,0,2,1,2,13,-5,32:46,.945,1.000,.000,.333,12.2,31.7,20.7,8.3,0.0,6.7,12.7,10.2,172,113,3.5
Jaden Ivey,23:55,5,10,.500,2,5,.400,0,0,,2,2,4,3,0,1,4,6,12,-1,23:55,.600,.600,.500,.000,8.4,10.8,9.4,17.7,0.0,4.6,28.6,24.8,94,118,-6.8
Isaiah Livers,21:49,2,3,.667,1,2,.500,0,0,,0,1,1,1,1,0,0,2,5,-7,21:49,.833,.833,.667,.000,0.0,5.9,2.6,5.6,2.2,0.0,0.0,5.8,168,117,-0.7
Kevin Knox,23:08,7,13,.538,4,8,.500,0,0,,0,1,1,3,1,2,0,3,18,-6,23:08,.692,.692,.615,.000,0.0,5.6,2.4,21.1,2.1,9.4,0.0,23.8,141,111,14.4
Alec Burks,21:22,5,14,.357,3,10,.300,0,0,,1,3,4,2,0,1,2,2,13,+9,21:22,.464,.464,.714,.000,4.7,18.2,10.6,13.7,0.0,5.1,12.5,31.7,89,116,-4.3
Killian Hayes,15:45,0,3,.000,0,2,.000,0,0,,0,1,1,5,2,0,0,0,0,-4,15:45,.000,.000,.667,.000,0.0,8.2,3.6,34.6,6.1,0.0,0.0,8.1,80,107,0.0
James Wiseman,15:14,1,5,.200,0,1,.000,2,3,.667,1,2,3,0,0,2,0,2,4,+1,15:14,.316,.200,.200,.600,6.6,17.0,11.1,0.0,0.0,14.3,0.0,17.6,80,111,-10.7
Ausar Thompson,8:31,0,3,.000,0,1,.000,2,2,1.000,0,4,4,1,2,0,1,3,2,+3,8:31,.258,.000,.333,.667,0.0,60.9,26.5,12.8,11.3,0.0,20.5,24.3,56,85,-7.4
Marcus Sasser,6:23,0,0,,0,0,,0,0,,0,0,0,2,0,0,0,1,0,+4,6:23,,,,,0.0,0.0,0.0,34.2,0.0,0.0,,0.0,230,123,-5.8
Marvin Bagley III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Joe Harris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,98,.449,13,44,.295,8,10,.800,10,30,40,25,8,9,11,23,109,,240,.532,.515,.449,.102,20.8,81.1,47.1,56.8,8.0,20.5,9.7,100.0,109.0,113.0,
