Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Marcus Smart,39:09,9,16,.563,8,14,.571,3,4,.750,1,1,2,5,1,0,3,2,29,+13,39:09,.816,.813,.875,.250,3.7,2.7,3.1,18.6,1.2,0.0,14.5,23.6,138,117,5.3
Desmond Bane,37:00,8,14,.571,5,8,.625,3,4,.750,0,5,5,13,1,0,3,2,24,+11,37:00,.761,.750,.571,.286,0.0,14.1,8.2,50.2,1.3,0.0,16.0,22.6,149,115,9.4
Ja Morant,34:37,7,17,.412,3,7,.429,4,5,.800,2,5,7,7,1,1,2,3,21,+15,34:37,.547,.500,.412,.294,8.4,15.1,12.3,28.3,1.4,2.4,9.4,27.3,122,112,-0.4
Bismack Biyombo,31:15,3,3,1.000,0,0,,0,0,,1,9,10,1,0,0,2,2,6,+17,31:15,1.000,1.000,.000,.000,4.7,30.1,19.4,3.9,0.0,0.0,40.0,7.1,117,115,-3.1
Jaren Jackson Jr.,29:30,11,14,.786,5,6,.833,4,4,1.000,0,9,9,1,0,3,3,5,31,+1,29:30,.984,.964,.429,.286,0.0,31.8,18.5,6.2,0.0,8.6,16.0,28.3,146,107,13.2
Luke Kennard,20:28,0,4,.000,0,3,.000,0,0,,1,2,3,4,1,0,0,0,0,0,20:28,.000,.000,.750,.000,7.1,10.2,8.9,21.3,2.3,0.0,0.0,8.7,88,113,-7.4
Ziaire Williams,20:19,6,11,.545,2,6,.333,1,1,1.000,0,1,1,1,1,0,2,2,15,+10,20:19,.656,.636,.545,.091,0.0,5.1,3.0,7.9,2.4,0.0,14.9,29.5,104,114,-4.3
Xavier Tillman Sr.,11:48,0,1,.000,0,0,,1,2,.500,1,4,5,1,2,0,1,3,1,+6,11:48,.266,.000,.000,2.000,12.3,35.4,25.7,9.2,8.1,0.0,34.7,10.9,83,95,-2.5
Santi Aldama,9:14,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,0,0,-3,9:14,,,,,0.0,0.0,0.0,0.0,5.2,0.0,100.0,4.8,0,109,-6.6
David Roddy,6:40,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,0,6:40,.000,.000,.500,.000,0.0,31.3,18.2,0.0,0.0,0.0,0.0,13.4,0,114,-22.2
John Konchar,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Derrick Rose,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,44,82,.537,23,45,.511,16,20,.800,6,38,44,33,8,4,17,20,127,,240,.699,.677,.549,.244,18.2,82.6,55.7,75.0,8.0,7.0,15.8,100.0,126.7,112.8,
