Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Grayson Allen,37:03,11,19,.579,9,14,.643,0,0,,1,3,4,4,0,2,2,4,31,+13,37:03,.816,.816,.737,.000,3.1,8.4,5.9,17.4,0.0,5.6,9.5,26.3,140,110,12.5
Bradley Beal,36:58,11,18,.611,2,6,.333,1,1,1.000,1,7,8,9,0,0,2,2,25,+27,36:58,.678,.667,.333,.056,3.1,19.8,11.8,39.3,0.0,0.0,9.8,25.6,136,110,5.7
Devin Booker,34:41,9,19,.474,2,7,.286,0,0,,0,5,5,10,2,0,3,2,20,+25,34:41,.526,.526,.368,.000,0.0,15.0,7.9,43.9,3.0,0.0,13.6,29.4,109,105,1.7
Jusuf Nurkić,26:18,3,6,.500,0,1,.000,0,0,,1,8,9,2,1,0,0,2,6,+21,26:18,.500,.500,.167,.000,4.3,31.7,18.7,9.5,1.9,0.0,0.0,10.6,122,101,-2.5
Chimezie Metu,17:17,3,3,1.000,0,0,,1,1,1.000,0,2,2,0,2,0,2,0,7,+18,17:17,1.017,1.000,.000,.333,0.0,12.1,6.3,0.0,5.9,0.0,36.8,14.6,105,99,1.2
Josh Okogie,24:25,0,2,.000,0,1,.000,7,8,.875,1,1,2,4,3,2,0,5,7,+4,24:25,.634,.000,.500,4.000,4.7,4.3,4.5,17.9,6.3,8.5,0.0,10.5,166,96,9.2
Drew Eubanks,21:42,4,8,.500,1,1,1.000,2,4,.500,2,4,6,0,1,0,0,1,11,-5,21:42,.564,.563,.125,.500,10.5,19.2,15.1,0.0,2.4,0.0,0.0,20.9,122,105,-2.4
Keita Bates-Diop,18:35,0,6,.000,0,3,.000,0,0,,1,3,4,0,3,0,0,1,0,-6,18:35,.000,.000,.500,.000,6.1,16.8,11.7,0.0,8.3,0.0,0.0,15.0,17,92,-12.8
Bol Bol,10:17,2,2,1.000,0,0,,0,1,.000,1,2,3,1,0,1,0,1,4,0,10:17,.820,1.000,.000,.500,11.1,20.3,15.9,13.5,0.0,10.1,0.0,11.0,173,104,6.1
Yuta Watanabe,8:54,1,3,.333,0,1,.000,0,0,,1,0,1,0,0,0,0,0,2,-7,8:54,.333,.333,.333,.000,12.8,0.0,6.1,0.0,0.0,0.0,0.0,15.6,91,117,-12.1
Jordan Goodwin,1:55,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-5,1:55,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.2,0,117,-33.3
Saben Lee,1:55,0,0,,0,0,,0,2,.000,0,0,0,0,1,0,0,0,0,-5,1:55,.000,,,,0.0,0.0,0.0,0.0,26.8,0.0,0.0,21.3,0,56,3.4
Team Totals,240,44,87,.506,14,35,.400,11,17,.647,9,35,44,30,13,5,9,18,113,,240,.598,.586,.402,.195,21.4,76.1,50.0,68.2,13.9,10.9,8.7,100.0,120.7,103.6,
