Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Tyrese Maxey,36:27,9,20,.450,1,7,.143,8,10,.800,1,3,4,9,2,1,1,1,27,-28,36:27,.553,.475,.350,.500,2.8,9.9,6.1,56.0,2.7,2.7,3.9,31.3,120,131,10.5
Joel Embiid,36:13,10,23,.435,1,1,1.000,9,12,.750,3,7,10,3,1,3,6,3,30,-29,36:13,.530,.457,.043,.522,8.5,23.2,15.2,20.1,1.4,8.3,17.5,42.5,93,127,1.1
Kelly Oubre Jr.,30:59,6,12,.500,3,6,.500,0,0,,2,5,7,1,0,3,3,2,15,-20,30:59,.625,.625,.500,.000,6.6,19.4,12.5,6.5,0.0,9.7,20.0,21.7,96,131,0.2
Tobias Harris,24:03,2,6,.333,1,2,.500,0,1,.000,0,3,3,4,0,0,0,2,5,-1,24:03,.388,.417,.333,.167,0.0,15.0,6.9,27.5,0.0,0.0,0.0,12.0,97,138,-5.4
Nicolas Batum,21:16,0,2,.000,0,1,.000,0,0,,1,3,4,1,0,1,2,2,0,-6,21:16,.000,.000,.500,.000,4.8,16.9,10.4,6.8,0.0,4.7,50.0,8.4,27,135,-14.4
Danuel House Jr.,22:18,1,3,.333,0,1,.000,0,0,,0,4,4,1,1,0,0,1,2,-27,22:18,.333,.333,.333,.000,0.0,21.5,9.9,7.0,2.2,0.0,0.0,6.0,79,131,-7.1
Marcus Morris,16:27,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,-24,16:27,.000,.000,1.000,.000,0.0,0.0,0.0,8.8,0.0,0.0,0.0,2.7,45,142,-10.5
Jaden Springer,14:55,1,7,.143,0,3,.000,1,2,.500,1,0,1,1,1,1,0,1,3,-12,14:55,.190,.143,.429,.286,6.8,0.0,3.7,10.8,3.3,6.7,0.0,23.7,55,130,-10.9
Patrick Beverley,13:34,0,1,.000,0,1,.000,2,2,1.000,0,2,2,0,1,0,2,2,2,-12,13:34,.532,.000,1.000,2.000,0.0,17.7,8.1,0.0,3.6,0.0,51.5,12.8,53,129,-15.1
Paul Reed,11:47,3,5,.600,0,0,,0,0,,0,1,1,0,0,0,0,2,6,-7,11:47,.600,.600,.000,.000,0.0,10.2,4.7,0.0,0.0,0.0,0.0,19.1,111,139,-6.8
KJ Martin,7:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-12,7:20,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,142,-16.0
Mo Bamba,4:41,1,1,1.000,0,0,,0,0,,0,2,2,1,2,0,0,0,2,-2,4:41,1.000,1.000,.000,.000,0.0,51.2,23.6,45.0,21.1,0.0,0.0,9.6,204,78,35.4
Team Totals,240,33,81,.407,6,23,.261,20,27,.741,8,30,38,22,8,9,14,18,92,,240,.495,.444,.284,.333,17.0,75.0,43.7,66.7,8.2,18.8,13.1,100.0,94.5,131.4,
