Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,35:44,11,19,.579,2,5,.400,10,15,.667,1,8,9,6,0,0,2,5,34,-10,35:44,.664,.632,.263,.789,3.5,21.9,13.9,26.7,0.0,0.0,7.2,34.5,131,125,5.3
Jalen Williams,35:37,8,11,.727,2,4,.500,2,3,.667,0,5,5,5,0,1,3,3,20,+3,35:37,.812,.818,.364,.273,0.0,13.8,7.7,19.7,0.0,2.6,19.6,19.2,129,129,2.2
Chet Holmgren,34:59,8,15,.533,0,4,.000,1,2,.500,3,3,6,3,1,1,1,3,17,-3,34:59,.535,.533,.267,.133,10.8,8.4,9.5,12.1,1.4,2.6,5.9,21.5,114,128,-2.5
Luguentz Dort,28:30,5,8,.625,2,5,.400,0,0,,2,2,4,3,3,0,1,4,12,-5,28:30,.750,.750,.625,.000,8.9,6.9,7.7,13.8,5.1,0.0,11.1,14.1,140,122,6.7
Josh Giddey,23:36,5,9,.556,0,1,.000,3,4,.750,0,8,8,5,1,1,2,3,13,-7,23:36,.604,.556,.111,.444,0.0,33.2,18.7,29.2,2.1,3.9,15.7,24.1,115,113,4.1
Cason Wallace,23:28,3,7,.429,2,4,.500,0,0,,1,1,2,0,1,0,0,1,8,-5,23:28,.571,.571,.571,.000,5.4,4.2,4.7,0.0,2.1,0.0,0.0,13.3,117,130,-2.4
Isaiah Joe,19:52,1,5,.200,1,3,.333,0,0,,0,1,1,1,0,1,1,1,3,+3,19:52,.300,.300,.600,.000,0.0,4.9,2.8,5.7,0.0,4.6,16.7,13.5,60,133,-10.7
Vasilije Micić,12:16,3,4,.750,0,1,.000,0,0,,0,0,0,3,1,1,0,0,6,+1,12:16,.750,.750,.250,.000,0.0,0.0,0.0,35.3,4.0,7.5,0.0,14.6,163,125,14.7
Kenrich Williams,11:32,0,1,.000,0,0,,0,0,,0,1,1,1,1,0,3,2,0,-12,11:32,.000,.000,.000,.000,0.0,8.5,4.8,9.2,4.2,0.0,75.0,15.5,15,123,-18.0
Aaron Wiggins,7:55,1,2,.500,0,1,.000,0,0,,0,0,0,2,0,0,0,2,2,-3,7:55,.500,.500,.500,.000,0.0,0.0,0.0,31.1,0.0,0.0,0.0,11.3,132,137,-4.1
Lindy Waters III,3:32,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-2,3:32,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.6,0,137,-26.2
Jaylin Williams,2:08,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-5,2:08,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0,137,-37.2
Dāvis Bertāns,0:51,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,0,0:51,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,0,137,-58.8
Tre Mann,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Aleksej Pokusevski,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,84,.536,9,31,.290,16,24,.667,7,29,36,29,8,5,13,26,115,,240,.608,.589,.369,.286,18.4,59.2,41.4,64.4,8.2,9.6,12.1,100.0,117.2,126.4,
