Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Lauri Markkanen,34:59,12,19,.632,5,9,.556,4,5,.800,4,9,13,1,0,1,1,2,33,+8,34:59,.778,.763,.474,.263,19.6,22.9,21.8,4.6,0.0,2.1,4.5,26.8,155,107,12.4
Simone Fontecchio,32:51,3,9,.333,1,6,.167,0,0,,1,6,7,2,1,0,4,1,7,+6,32:51,.389,.389,.667,.000,5.2,16.2,12.5,7.0,1.4,0.0,30.8,16.7,69,108,-8.1
John Collins,27:52,9,10,.900,0,0,,1,2,.500,1,4,5,2,0,1,1,1,19,+7,27:52,.873,.900,.000,.200,6.2,12.8,10.5,11.3,0.0,2.6,8.4,18.0,158,110,9.0
Collin Sexton,27:07,9,14,.643,1,3,.333,3,4,.750,1,2,3,10,0,0,5,3,22,+7,27:07,.698,.679,.214,.286,6.3,6.6,6.5,58.9,0.0,0.0,24.1,32.4,124,114,4.3
Kris Dunn,23:14,0,1,.000,0,1,.000,0,0,,0,5,5,1,1,2,1,3,0,+8,23:14,.000,.000,1.000,.000,0.0,19.1,12.6,4.5,2.0,6.3,50.0,3.6,33,101,-2.0
Jordan Clarkson,30:39,5,14,.357,0,6,.000,8,9,.889,0,5,5,6,1,0,5,0,18,+1,30:39,.501,.357,.429,.643,0.0,14.5,9.5,24.6,1.6,0.0,21.8,31.7,99,108,-6.4
Walker Kessler,19:07,4,4,1.000,0,0,,2,2,1.000,1,3,4,0,1,0,0,2,10,+5,19:07,1.025,1.000,.000,.500,9.0,13.9,12.2,0.0,2.5,0.0,0.0,10.8,213,106,7.6
Keyonte George,16:01,2,4,.500,0,2,.000,2,2,1.000,0,2,2,3,0,0,2,2,6,+5,16:01,.615,.500,.500,.500,0.0,11.1,7.3,22.5,0.0,0.0,29.1,18.2,108,113,-5.6
Kelly Olynyk,15:09,2,3,.667,1,1,1.000,0,0,,0,1,1,4,0,0,3,3,5,+5,15:09,.833,.833,.333,.000,0.0,5.9,3.9,32.0,0.0,0.0,50.0,16.7,99,115,-2.8
Ochai Agbaji,13:01,0,2,.000,0,2,.000,0,0,,1,2,3,1,0,0,1,1,0,+3,13:01,.000,.000,1.000,.000,13.2,13.7,13.5,8.0,0.0,0.0,33.3,9.7,47,112,-10.1
Talen Horton-Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luka Šamanić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Omer Yurtseven,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,80,.575,8,30,.267,20,24,.833,9,39,48,30,4,4,23,18,120,,240,.663,.625,.375,.300,32.1,72.2,58.5,65.2,4.0,6.1,20.3,100.0,119.0,108.1,
