Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaden McDaniels,37:00,1,10,.100,0,5,.000,0,0,,1,2,3,4,0,0,0,4,2,-6,37:00,.100,.100,.500,.000,2.8,5.4,4.1,13.1,0.0,0.0,0.0,11.2,62,128,-11.9
Anthony Edwards,36:55,14,27,.519,3,6,.500,5,7,.714,5,5,10,3,3,1,2,3,36,-5,36:55,.598,.574,.222,.259,13.8,13.5,13.7,17.1,4.1,2.4,6.2,35.9,131,114,16.5
Rudy Gobert,34:13,4,9,.444,0,0,,1,4,.250,6,11,17,1,1,0,5,4,9,+1,34:13,.418,.444,.000,.444,17.9,32.1,25.1,4.0,1.5,0.0,31.7,19.0,76,114,-9.9
Mike Conley,32:10,3,7,.429,3,6,.500,0,0,,0,1,1,7,0,0,2,1,9,-1,32:10,.643,.643,.857,.000,0.0,3.1,1.6,28.6,0.0,0.0,22.2,11.6,129,129,-0.5
Karl-Anthony Towns,27:26,8,16,.500,3,9,.333,5,6,.833,0,7,7,1,0,2,3,5,24,-6,27:26,.644,.594,.563,.375,0.0,25.5,12.9,6.5,0.0,6.4,13.9,32.6,119,116,5.8
Naz Reid,26:39,7,12,.583,1,4,.250,0,2,.000,4,5,9,0,0,0,0,2,15,-1,26:39,.582,.625,.333,.167,15.3,18.8,17.1,0.0,0.0,0.0,0.0,20.0,132,122,1.5
Kyle Anderson,19:44,1,1,1.000,0,0,,2,2,1.000,1,1,2,4,0,0,1,3,4,-7,19:44,1.064,1.000,.000,2.000,5.2,5.1,5.1,25.2,0.0,0.0,34.7,6.0,164,128,0.5
Jordan McLaughlin,13:03,2,7,.286,2,7,.286,0,0,,0,1,1,1,2,1,0,0,6,-4,13:03,.429,.429,1.000,.000,0.0,7.7,3.9,10.9,7.7,6.7,0.0,22.1,112,106,12.6
Nickeil Alexander-Walker,12:50,1,5,.200,1,4,.250,0,0,,1,0,1,1,0,0,0,0,3,-6,12:50,.300,.300,.800,.000,8.0,0.0,3.9,10.0,0.0,0.0,0.0,16.1,98,130,-6.3
Troy Brown Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Leonard Miller,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Shake Milton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Minott,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Wendell Moore Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,94,.436,13,41,.317,13,21,.619,18,33,51,22,6,4,13,22,108,,240,.523,.505,.436,.223,38.3,68.8,53.7,53.7,6.3,7.3,11.2,100.0,113.5,120.9,
