Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Giannis Antetokounmpo,38:23,10,20,.500,0,2,.000,5,9,.556,4,6,10,11,0,0,4,5,25,-14,38:23,.522,.500,.100,.450,10.4,20.3,14.7,46.6,0.0,0.0,14.3,31.4,114,140,-1.5
Brook Lopez,37:48,5,11,.455,3,6,.500,0,0,,1,5,6,3,0,2,0,2,13,-9,37:48,.591,.591,.545,.000,2.6,17.2,9.0,10.7,0.0,5.5,0.0,12.5,129,137,-2.4
Khris Middleton,33:33,7,16,.438,3,6,.500,6,6,1.000,0,3,3,8,2,1,3,1,23,-8,33:33,.617,.531,.375,.375,0.0,11.6,5.0,35.8,2.9,3.1,13.9,27.8,121,133,4.6
Andre Jackson Jr.,26:24,2,6,.333,1,2,.500,2,2,1.000,2,3,5,3,0,2,1,2,7,-6,26:24,.509,.417,.333,.333,7.6,14.7,10.7,14.2,0.0,7.9,12.7,12.9,118,136,-4.0
Malik Beasley,24:20,6,12,.500,5,8,.625,0,0,,1,3,4,2,1,1,0,1,17,-12,24:20,.708,.708,.667,.000,4.1,16.0,9.3,13.1,2.0,4.3,0.0,21.3,140,133,9.1
Pat Connaughton,21:53,2,3,.667,2,3,.667,0,0,,0,2,2,1,0,0,0,3,6,-12,21:53,1.000,1.000,1.000,.000,0.0,11.9,5.2,5.8,0.0,0.0,0.0,5.9,186,142,-5.3
Bobby Portis,16:01,4,11,.364,0,2,.000,0,0,,1,2,3,0,0,0,0,4,8,-8,16:01,.364,.364,.182,.000,6.2,16.2,10.6,0.0,0.0,0.0,0.0,29.6,80,140,-22.4
Chris Livingston,14:39,2,5,.400,0,0,,2,2,1.000,1,1,2,0,1,0,1,1,6,0,14:39,.510,.400,.000,.400,6.8,8.9,7.7,0.0,3.4,0.0,14.5,20.2,97,134,-10.8
MarJon Beauchamp,14:17,1,6,.167,1,4,.250,0,0,,0,2,2,3,2,0,0,1,3,+4,14:17,.250,.250,.667,.000,0.0,18.2,7.9,26.1,6.9,0.0,0.0,18.1,82,124,-3.3
A.J. Green,11:03,3,4,.750,2,3,.667,0,0,,1,0,1,0,0,0,0,0,8,-15,11:03,1.000,1.000,.750,.000,9.0,0.0,5.1,0.0,0.0,0.0,0.0,15.6,183,145,8.3
Thanasis Antetokounmpo,0:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:47,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,145,-12.7
Robin Lopez,0:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:47,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,145,-11.9
TyTy Washington Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,94,.447,17,36,.472,15,19,.789,11,27,38,31,6,6,9,20,116,,240,.567,.537,.383,.202,22.9,73.0,44.7,73.8,6.2,13.0,8.1,100.0,119.5,135.9,
