Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scottie Barnes,40:10,11,20,.550,3,7,.429,1,2,.500,1,2,3,6,0,2,2,6,26,0,40:10,.623,.625,.350,.100,3.1,6.5,4.7,18.0,0.0,5.3,8.7,24.5,121,127,-0.8
RJ Barrett,35:28,10,13,.769,1,3,.333,2,3,.667,1,9,10,5,2,0,3,4,23,+10,35:28,.803,.808,.231,.231,3.5,32.9,17.8,17.1,2.6,0.0,17.3,21.0,136,123,4.0
Pascal Siakam,32:04,10,17,.588,3,5,.600,2,3,.667,0,4,4,3,0,1,1,2,25,-4,32:04,.682,.676,.294,.176,0.0,16.2,7.9,11.8,0.0,3.3,5.2,25.9,127,128,1.8
Thaddeus Young,28:53,5,9,.556,0,1,.000,0,0,,1,4,5,4,3,1,0,4,10,+7,28:53,.556,.556,.111,.000,4.3,18.0,10.9,14.9,4.7,3.7,0.0,13.4,131,116,2.6
Immanuel Quickley,26:03,8,14,.571,4,6,.667,1,3,.333,1,4,5,5,0,0,1,6,21,+2,26:03,.685,.714,.429,.214,4.7,19.9,12.1,24.1,0.0,0.0,6.1,26.9,133,130,1.9
Dennis Schröder,29:37,3,6,.500,2,3,.667,2,2,1.000,1,1,2,6,0,0,2,2,10,-2,29:37,.727,.667,.500,.333,4.2,4.4,4.3,20.2,0.0,0.0,22.5,12.9,135,132,-3.2
Gary Trent Jr.,23:39,5,10,.500,4,6,.667,0,0,,0,1,1,1,0,0,0,1,14,-6,23:39,.700,.700,.600,.000,0.0,5.5,2.7,4.7,0.0,0.0,0.0,18.2,131,131,-0.3
Chris Boucher,14:02,1,3,.333,0,2,.000,0,0,,0,7,7,1,2,0,3,1,2,-4,14:02,.333,.333,.667,.000,0.0,64.7,31.5,6.9,6.5,0.0,50.0,18.4,42,111,-8.9
Jontay Porter,10:04,0,2,.000,0,2,.000,0,0,,0,0,0,3,1,0,0,0,0,-8,10:04,.000,.000,1.000,.000,0.0,0.0,0.0,27.0,4.5,0.0,0.0,8.5,83,122,-0.4
Jalen McDaniels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Otto Porter Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,53,94,.564,17,35,.486,8,13,.615,5,32,37,34,8,4,12,26,131,,240,.657,.654,.372,.138,12.8,86.5,48.7,64.2,7.6,8.9,10.7,100.0,124.4,125.3,
