Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Keegan Murray,31:36,11,18,.611,3,7,.429,0,0,,0,6,6,3,0,1,0,2,25,+5,31:36,.694,.694,.389,.000,0.0,19.4,10.2,15.6,0.0,3.1,0.0,25.3,151,107,7.7
De'Aaron Fox,28:14,8,14,.571,3,7,.429,0,2,.000,0,1,1,3,1,1,1,0,19,+25,28:14,.638,.679,.500,.143,0.0,3.6,1.9,15.7,1.9,3.5,6.3,25.0,128,107,5.1
Domantas Sabonis,27:58,9,13,.692,1,2,.500,5,6,.833,1,9,10,7,0,1,2,2,24,-4,27:58,.767,.731,.154,.462,4.1,32.9,19.3,39.3,0.0,3.5,11.3,28.0,153,103,17.0
Harrison Barnes,22:18,2,4,.500,2,4,.500,0,0,,1,1,2,1,0,0,1,0,6,-3,22:18,.750,.750,1.000,.000,5.1,4.6,4.8,5.2,0.0,0.0,20.0,10.0,132,114,-2.4
Kevin Huerter,0:41,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2,0:41,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,111,-37.1
Malik Monk,29:48,6,13,.462,1,5,.200,7,7,1.000,0,4,4,4,0,2,1,0,20,+17,29:48,.622,.500,.385,.538,0.0,13.7,7.2,17.7,0.0,6.6,5.9,25.4,138,106,4.6
Trey Lyles,21:11,2,4,.500,2,4,.500,2,4,.500,1,4,5,2,0,0,1,1,8,+27,21:11,.694,.750,1.000,1.000,5.4,19.3,12.7,10.9,0.0,0.0,14.8,14.2,134,110,1.1
Juan Toscano-Anderson,16:41,1,4,.250,0,1,.000,0,0,,1,2,3,0,0,1,0,2,2,+20,16:41,.250,.250,.250,.000,6.9,12.2,9.7,0.0,0.0,5.9,0.0,10.6,79,107,-11.3
Alex Len,15:31,4,6,.667,0,0,,0,0,,4,6,10,1,1,1,1,2,8,+28,15:31,.667,.667,.000,.000,29.5,39.5,34.8,9.2,3.4,6.3,14.3,20.0,139,91,5.7
Colby Jones,13:54,0,2,.000,0,2,.000,0,0,,1,0,1,0,0,0,0,0,0,+1,13:54,.000,.000,1.000,.000,8.2,0.0,3.9,0.0,0.0,0.0,0.0,6.4,48,116,-13.2
Chris Duarte,13:45,0,2,.000,0,0,,0,0,,1,1,2,2,0,0,0,2,0,+5,13:45,.000,.000,.000,.000,8.3,7.4,7.8,15.2,0.0,0.0,0.0,6.5,93,113,-9.4
Keon Ellis,9:21,1,3,.333,1,3,.333,0,0,,0,1,1,1,0,1,0,2,3,+4,9:21,.500,.500,1.000,.000,0.0,10.9,5.8,12.6,0.0,10.5,0.0,14.2,128,103,-0.5
JaVale McGee,4:31,2,5,.400,0,0,,4,4,1.000,4,3,7,0,0,0,2,0,8,+1,4:31,.592,.400,.000,.800,100.0,67.8,83.6,0.0,0.0,0.0,22.8,86.1,118,96,-7.3
Davion Mitchell,4:31,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+1,4:31,.000,.000,.000,.000,0.0,22.6,11.9,0.0,0.0,0.0,0.0,9.8,0,108,-22.4
Sasha Vezenkov,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,89,.517,13,35,.371,18,23,.783,14,39,53,24,2,8,9,15,123,,240,.620,.590,.393,.258,33.3,83.0,59.6,52.2,2.2,16.3,8.3,100.0,133.8,106.6,
