Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paul George,38:16,12,22,.545,5,9,.556,0,0,,0,7,7,6,2,1,0,4,29,+15,38:16,.659,.659,.409,.000,0.0,27.4,12.0,22.2,2.7,2.3,0.0,26.1,141,122,8.6
Kawhi Leonard,37:45,10,18,.556,2,4,.500,7,7,1.000,2,1,3,7,1,2,0,3,29,-5,37:45,.688,.611,.222,.389,6.2,4.0,5.2,24.5,1.3,4.7,0.0,25.4,158,126,9.9
James Harden,33:40,5,13,.385,2,7,.286,2,2,1.000,0,5,5,11,1,0,3,4,14,+8,33:40,.504,.462,.538,.154,0.0,22.3,9.8,37.5,1.5,0.0,17.8,22.8,113,127,-3.8
Ivica Zubac,31:10,6,8,.750,0,0,,0,0,,5,6,11,3,0,1,2,2,12,+1,31:10,.750,.750,.000,.000,18.8,28.9,23.2,11.6,0.0,2.9,20.0,14.6,142,127,-0.4
Terance Mann,23:41,5,5,1.000,3,3,1.000,0,0,,2,0,2,1,0,0,1,1,13,+6,23:41,1.300,1.300,.600,.000,9.9,0.0,5.6,5.2,0.0,0.0,16.7,11.5,192,133,7.3
Norman Powell,27:22,4,11,.364,3,8,.375,2,2,1.000,0,3,3,1,0,0,0,1,13,+2,27:22,.547,.500,.727,.182,0.0,16.4,7.2,4.2,0.0,0.0,0.0,19.7,119,131,-6.3
Amir Coffey,17:52,3,5,.600,0,2,.000,0,0,,0,1,1,1,1,0,0,1,6,+3,17:52,.600,.600,.400,.000,0.0,8.4,3.7,6.6,2.8,0.0,0.0,12.7,128,126,-3.4
Daniel Theis,15:54,1,2,.500,0,0,,2,2,1.000,2,2,4,1,1,1,1,1,4,+2,15:54,.694,.500,.000,1.000,14.7,18.9,16.5,6.6,3.2,5.6,25.8,11.1,136,119,-0.2
Russell Westbrook,14:20,3,9,.333,0,1,.000,0,0,,0,0,0,3,0,0,0,0,6,-2,14:20,.333,.333,.111,.000,0.0,0.0,0.0,25.8,0.0,0.0,0.0,28.5,92,133,-13.5
Brandon Boston Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kobe Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Bones Hyland,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Mason Plumlee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
P.J. Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,49,93,.527,15,34,.441,13,13,1.000,11,25,36,34,6,5,7,17,126,,240,.638,.608,.366,.140,26.8,78.1,49.3,69.4,6.4,9.3,6.6,100.0,133.4,127.1,
