Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kristaps Porziņģis,20:56,3,9,.333,0,3,.000,0,0,,1,1,2,4,1,1,1,2,6,-27,20:56,.333,.333,.333,.000,4.8,6.2,5.4,33.8,2.4,4.6,10.0,20.8,79,137,-4.3
Jrue Holiday,18:35,2,9,.222,0,4,.000,2,2,1.000,1,3,4,2,0,0,1,1,6,-31,18:35,.304,.222,.444,.222,5.4,20.9,12.2,17.9,0.0,0.0,9.2,25.5,69,142,-13.9
Jaylen Brown,18:19,5,14,.357,0,1,.000,0,0,,1,3,4,3,0,0,0,1,10,-17,18:19,.357,.357,.071,.000,5.5,21.2,12.3,37.6,0.0,0.0,0.0,33.3,82,142,-7.0
Derrick White,17:30,1,4,.250,0,1,.000,0,0,,0,1,1,0,0,0,0,0,2,-14,17:30,.250,.250,.250,.000,0.0,7.4,3.2,0.0,0.0,0.0,0.0,10.0,50,145,-15.8
Jayson Tatum,15:45,2,6,.333,0,1,.000,3,4,.750,0,1,1,3,0,0,1,2,7,-31,15:45,.451,.333,.167,.667,0.0,8.2,3.6,32.8,0.0,0.0,11.4,24.2,93,145,-7.3
Payton Pritchard,30:35,6,13,.462,2,9,.222,7,7,1.000,0,4,4,4,0,1,1,1,21,-13,30:35,.653,.538,.692,.538,0.0,17.0,7.4,25.5,0.0,3.1,5.9,24.3,128,141,5.2
Sam Hauser,23:36,4,8,.500,4,8,.500,3,3,1.000,1,3,4,0,1,0,1,1,15,-16,23:36,.805,.750,1.000,.375,4.2,16.5,9.6,0.0,2.1,0.0,9.7,19.0,135,138,6.2
Lamar Stevens,19:24,1,6,.167,0,0,,3,4,.750,1,3,4,0,0,1,0,2,5,+3,19:24,.322,.167,.000,.667,5.2,20.1,11.6,0.0,0.0,4.9,0.0,17.4,76,139,-12.2
Dalano Banton,17:57,1,5,.200,1,2,.500,1,2,.500,0,1,1,3,2,1,0,1,4,+7,17:57,.340,.300,.400,.400,0.0,7.2,3.1,25.6,5.5,5.3,0.0,14.3,87,129,2.8
Oshae Brissett,17:27,4,8,.500,0,3,.000,5,6,.833,0,2,2,1,0,0,0,0,13,-1,17:27,.611,.500,.375,.750,0.0,14.9,6.5,12.0,0.0,0.0,0.0,26.6,126,143,1.9
Svi Mykhailiuk,17:21,3,5,.600,2,3,.667,1,2,.500,0,1,1,1,1,0,0,0,9,-5,17:21,.765,.800,.600,.400,0.0,7.5,3.3,10.8,2.8,0.0,0.0,14.8,144,138,6.4
Neemias Queta,12:39,2,4,.500,0,0,,0,0,,1,2,3,0,0,1,1,1,4,-4,12:39,.500,.500,.000,.000,7.9,20.5,13.4,0.0,0.0,7.6,20.0,17.2,83,137,-9.9
Luke Kornet,9:56,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,-16,9:56,,,,,0.0,0.0,0.0,14.2,0.0,0.0,,0.0,226,147,-9.3
Team Totals,240,34,91,.374,9,35,.257,25,30,.833,6,25,31,22,5,5,6,13,102,,240,.489,.423,.385,.330,12.5,67.6,36.5,64.7,5.1,10.0,5.4,100.0,104.7,138.5,
