Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brook Lopez,27:59,6,8,.750,2,4,.500,1,2,.500,1,4,5,3,0,2,1,3,15,+20,27:59,.845,.875,.500,.250,4.6,14.3,10.1,12.3,0.0,6.1,10.1,15.7,158,103,8.1
Malik Beasley,27:06,6,11,.545,4,8,.500,0,0,,1,3,4,0,0,0,0,0,16,+18,27:06,.727,.727,.727,.000,4.8,11.1,8.3,0.0,0.0,0.0,0.0,18.0,150,109,2.9
Damian Lillard,27:03,6,12,.500,3,8,.375,6,6,1.000,0,4,4,4,0,0,0,1,21,+25,27:03,.717,.625,.667,.500,0.0,14.8,8.4,17.2,0.0,0.0,0.0,24.0,165,108,6.4
Giannis Antetokounmpo,25:40,10,13,.769,0,0,,4,5,.800,5,7,12,6,1,1,4,2,24,+38,25:40,.789,.769,.000,.385,25.3,27.3,26.4,33.7,1.9,3.3,20.8,33.2,143,99,14.9
Khris Middleton,20:15,2,9,.222,1,5,.200,0,0,,0,2,2,7,1,0,0,2,5,+25,20:15,.278,.278,.556,.000,0.0,9.9,5.6,35.1,2.4,0.0,0.0,19.7,112,104,-3.7
Bobby Portis,21:47,11,18,.611,5,6,.833,1,2,.500,1,11,12,0,1,0,0,1,28,+15,21:47,.742,.750,.333,.111,6.0,50.5,31.1,0.0,2.3,0.0,0.0,38.5,148,96,15.8
Pat Connaughton,21:15,1,1,1.000,0,0,,0,0,,1,0,1,3,0,0,0,3,2,+20,21:15,1.000,1.000,.000,.000,6.1,0.0,2.7,13.6,0.0,0.0,0.0,2.1,223,111,-0.5
Andre Jackson Jr.,15:48,0,2,.000,0,2,.000,0,0,,2,2,4,4,0,0,0,5,0,+19,15:48,.000,.000,1.000,.000,16.4,12.7,14.3,23.4,0.0,0.0,0.0,5.6,142,108,-4.0
Cameron Payne,14:45,3,4,.750,1,2,.500,0,0,,0,4,4,3,0,0,0,0,7,-4,14:45,.875,.875,.500,.000,0.0,27.1,15.3,23.1,0.0,0.0,0.0,12.0,191,106,8.5
MarJon Beauchamp,12:00,0,2,.000,0,2,.000,0,0,,0,1,1,0,0,1,1,0,0,-8,12:00,.000,.000,1.000,.000,0.0,8.3,4.7,0.0,0.0,7.1,33.3,11.1,0,104,-13.3
Thanasis Antetokounmpo,8:54,3,5,.600,0,0,,0,0,,1,0,1,1,0,1,2,4,6,-2,8:54,.600,.600,.000,.000,14.6,0.0,6.3,15.1,0.0,9.6,28.6,34.9,96,102,-12.1
Chris Livingston,8:54,1,1,1.000,0,0,,0,0,,0,2,2,1,0,0,1,0,2,-2,8:54,1.000,1.000,.000,.000,0.0,22.5,12.7,11.6,0.0,0.0,50.0,10.0,102,107,-0.3
A.J. Green,8:34,3,6,.500,2,5,.400,1,1,1.000,0,2,2,2,0,1,0,1,9,+1,8:34,.699,.667,.833,.167,0.0,23.3,13.2,31.8,0.0,10.0,0.0,33.4,159,98,19.4
Robin Lopez,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
TyTy Washington Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,52,92,.565,18,42,.429,13,16,.813,12,42,54,34,3,6,9,22,135,,240,.682,.663,.457,.174,32.4,87.5,63.5,65.4,3.1,10.7,8.3,100.0,138.5,104.7,
