Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Devin Booker,33:31,11,22,.500,2,6,.333,7,7,1.000,0,5,5,5,3,0,3,2,31,+20,33:31,.618,.545,.273,.318,0.0,17.9,8.6,23.7,4.3,0.0,10.7,34.9,124,106,7.0
Kevin Durant,32:15,7,12,.583,2,5,.400,2,2,1.000,0,5,5,5,3,1,1,0,18,+15,32:15,.699,.667,.417,.167,0.0,18.6,9.0,20.9,4.5,3.2,7.2,17.9,146,103,11.6
Bradley Beal,32:06,14,21,.667,8,10,.800,1,1,1.000,2,4,6,4,1,0,3,3,37,+25,32:06,.863,.857,.476,.048,7.0,15.0,10.8,23.9,1.5,0.0,12.3,31.7,153,112,18.8
Grayson Allen,30:04,2,8,.250,1,6,.167,0,0,,1,4,5,3,0,0,0,3,5,+32,30:04,.313,.313,.750,.000,3.7,16.0,9.6,11.2,0.0,0.0,0.0,11.1,100,115,-8.3
Jusuf Nurkić,28:29,3,6,.500,0,0,,3,4,.750,4,8,12,2,1,0,2,2,9,+29,28:29,.580,.500,.000,.667,15.7,33.7,24.4,8.2,1.7,0.0,20.5,14.3,121,109,-1.8
Eric Gordon,22:57,2,11,.182,1,9,.111,0,0,,2,1,3,0,0,0,0,0,5,+1,22:57,.227,.227,.818,.000,9.7,5.2,7.6,0.0,0.0,0.0,0.0,20.0,69,118,-16.1
Bol Bol,17:18,2,3,.667,0,0,,2,2,1.000,2,4,6,2,2,2,0,1,6,+9,17:18,.773,.667,.000,.667,12.9,27.7,20.1,13.7,5.6,12.1,0.0,9.4,185,93,14.6
Josh Okogie,11:34,2,4,.500,0,2,.000,1,2,.500,0,0,0,0,1,0,0,1,5,-3,11:34,.512,.500,.500,.500,0.0,0.0,0.0,0.0,4.2,0.0,0.0,17.6,110,108,-4.0
Chimezie Metu,8:31,0,0,,0,0,,4,4,1.000,1,1,2,1,0,0,0,0,4,-6,8:31,1.136,,,,13.1,14.1,13.6,12.3,0.0,0.0,0.0,8.6,244,116,11.3
Udoka Azubuike,5:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,2,2,-6,5:00,1.000,1.000,.000,.000,22.3,0.0,11.6,0.0,0.0,0.0,0.0,8.3,210,115,-3.9
Keita Bates-Diop,4:36,1,3,.333,0,1,.000,0,0,,0,0,0,0,0,0,0,0,2,-7,4:36,.333,.333,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.2,76,118,-17.9
Jordan Goodwin,4:36,0,1,.000,0,0,,0,0,,0,0,0,1,1,0,1,1,0,-7,4:36,.000,.000,.000,.000,0.0,0.0,0.0,22.7,10.5,0.0,50.0,18.1,32,93,-9.6
Yuta Watanabe,4:36,0,0,,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-7,4:36,,,,,0.0,26.1,12.6,0.0,0.0,0.0,100.0,9.1,0,113,-17.6
Nassir Little,4:27,1,1,1.000,0,0,,1,1,1.000,0,0,0,0,0,0,1,0,3,-5,4:27,1.042,1.000,.000,1.000,0.0,0.0,0.0,0.0,0.0,0.0,41.0,22.9,109,118,-3.3
Team Totals,240,46,93,.495,14,39,.359,21,23,.913,13,33,46,23,12,3,12,16,127,,240,.616,.570,.419,.247,30.2,82.5,55.4,50.0,12.0,6.5,10.4,100.0,127.3,109.3,
