Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Fred VanVleet,42:32,7,15,.467,3,9,.333,3,3,1.000,1,3,4,12,2,2,0,5,20,+12,42:32,.613,.567,.600,.200,2.5,8.1,5.2,40.9,2.3,4.3,0.0,16.7,148,112,9.3
Jabari Smith Jr.,40:59,7,15,.467,1,3,.333,4,4,1.000,5,6,11,1,1,2,1,0,19,-3,40:59,.567,.500,.200,.267,13.0,16.7,14.8,3.6,1.2,4.4,5.6,18.9,124,113,0.9
Jalen Green,39:02,9,25,.360,2,9,.222,8,9,.889,2,2,4,3,2,1,1,3,28,+8,39:02,.483,.400,.360,.360,5.5,5.9,5.7,12.3,2.5,2.3,3.3,33.5,107,114,-0.3
Alperen Sengun,37:19,12,19,.632,0,1,.000,5,7,.714,0,6,6,1,1,0,4,3,29,+10,37:19,.657,.632,.053,.368,0.0,18.4,8.9,5.0,1.3,0.0,15.3,30.5,109,115,-1.7
Jae'Sean Tate,19:37,1,2,.500,0,0,,0,0,,2,5,7,1,0,0,1,1,2,0,19:37,.500,.500,.000,.000,10.9,29.1,19.7,6.3,0.0,0.0,33.3,6.7,105,115,-5.6
Reggie Bullock,20:49,1,3,.333,1,3,.333,0,0,,0,4,4,1,1,0,1,0,3,-2,20:49,.500,.500,1.000,.000,0.0,22.0,10.6,6.0,2.4,0.0,25.0,8.4,82,112,-3.1
Cam Whitmore,15:27,1,7,.143,1,5,.200,0,0,,0,1,1,0,0,0,0,2,3,+5,15:27,.214,.214,.714,.000,0.0,7.4,3.6,0.0,0.0,0.0,0.0,19.8,48,120,-19.6
Jeff Green,13:06,2,2,1.000,0,0,,2,2,1.000,0,2,2,0,0,0,1,2,6,-3,13:06,1.042,1.000,.000,1.000,0.0,17.4,8.4,0.0,0.0,0.0,25.8,12.9,146,118,-3.6
Amen Thompson,7:49,1,2,.500,0,0,,0,0,,0,1,1,2,1,0,0,0,2,-8,7:49,.500,.500,.000,.000,0.0,14.6,7.1,35.2,6.3,0.0,0.0,11.2,132,105,10.4
Aaron Holiday,3:20,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-9,3:20,,,,,0.0,34.3,16.6,0.0,0.0,0.0,,0.0,0,114,-8.6
Jock Landale,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,90,.456,8,30,.267,22,25,.880,10,31,41,21,8,5,9,16,112,,240,.554,.500,.333,.278,22.2,73.8,47.1,51.2,8.3,9.4,8.2,100.0,115.8,113.7,
