Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Knox,35:11,7,9,.778,2,4,.500,3,3,1.000,0,7,7,2,1,2,1,1,19,-1,35:11,.921,.889,.444,.333,0.0,21.2,11.0,7.9,1.4,4.5,8.8,14.2,164,113,7.7
Jalen Duren,31:32,7,12,.583,0,0,,1,2,.500,2,6,8,3,2,1,2,3,15,+9,31:32,.582,.583,.000,.167,7.2,20.3,14.0,13.7,3.1,2.5,13.4,20.8,111,111,-1.1
Killian Hayes,28:45,2,6,.333,0,2,.000,1,1,1.000,0,4,4,8,1,1,1,1,5,-7,28:45,.388,.333,.333,.167,0.0,14.8,7.7,32.8,1.7,2.8,13.4,11.4,114,115,-1.8
Isaiah Stewart,28:39,6,13,.462,3,8,.375,1,2,.500,0,7,7,1,0,0,3,1,16,-10,28:39,.576,.577,.615,.154,0.0,26.1,13.5,4.9,0.0,0.0,17.8,25.9,91,118,-7.1
Jaden Ivey,28:02,8,19,.421,1,6,.167,1,4,.250,5,2,7,8,0,1,3,3,18,+7,28:02,.434,.447,.316,.211,20.4,7.6,13.8,45.2,0.0,2.9,12.6,37.3,102,121,-3.2
Alec Burks,29:56,7,14,.500,5,9,.556,0,0,,0,0,0,1,0,2,2,3,19,-11,29:56,.679,.679,.643,.000,0.0,0.0,0.0,4.9,0.0,5.3,12.5,23.5,110,121,-0.4
Ausar Thompson,18:17,2,3,.667,0,1,.000,0,0,,2,6,8,0,0,0,1,2,4,+5,18:17,.667,.667,.333,.000,12.5,35.0,24.1,0.0,0.0,0.0,25.0,9.6,111,116,-8.3
Isaiah Livers,16:29,1,4,.250,1,4,.250,0,0,,0,0,0,1,0,2,0,3,3,-3,16:29,.375,.375,1.000,.000,0.0,0.0,0.0,7.1,0.0,9.7,0.0,10.7,93,117,-5.8
Marvin Bagley III,12:13,4,6,.667,0,0,,3,4,.750,1,3,4,1,1,0,0,2,11,-2,12:13,.709,.667,.000,.667,9.4,26.2,18.1,13.9,4.1,0.0,0.0,28.0,152,109,9.8
Marcus Sasser,10:56,0,2,.000,0,1,.000,0,0,,1,0,1,7,1,0,1,2,0,+3,10:56,.000,.000,.500,.000,10.5,0.0,5.0,69.8,4.5,0.0,33.3,12.1,108,115,0.9
Joe Harris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Stanley Umude,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Wiseman,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,88,.500,12,35,.343,10,16,.625,11,35,46,32,6,9,14,21,110,,240,.579,.568,.398,.182,26.2,77.8,52.9,72.7,6.2,15.0,12.8,100.0,113.7,115.8,
