Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Myles Turner,25:56,5,9,.556,0,3,.000,2,3,.667,2,5,7,4,2,2,3,2,12,+9,25:56,.581,.556,.333,.333,14.2,19.7,17.7,16.9,3.8,6.3,22.5,22.6,113,103,0.0
Andrew Nembhard,22:40,4,6,.667,2,2,1.000,0,0,,0,4,4,6,2,0,4,2,10,+4,22:40,.833,.833,.333,.000,0.0,18.0,11.6,28.5,4.3,0.0,40.0,19.4,113,107,2.8
Aaron Nesmith,21:25,5,6,.833,3,3,1.000,0,0,,1,3,4,0,1,0,1,3,13,+1,21:25,1.083,1.083,.500,.000,8.6,14.3,12.3,0.0,2.3,0.0,14.3,14.4,159,112,5.5
Bruce Brown,21:09,5,9,.556,2,3,.667,0,0,,0,1,1,4,0,0,2,0,12,+8,21:09,.667,.667,.333,.000,0.0,4.8,3.1,21.8,0.0,0.0,18.2,22.8,124,121,-2.0
Jalen Smith,19:15,3,7,.429,0,0,,0,0,,3,4,7,0,0,0,0,1,6,+11,19:15,.429,.429,.000,.000,28.8,21.2,23.9,0.0,0.0,0.0,0.0,16.0,120,115,-12.1
Bennedict Mathurin,27:17,6,9,.667,0,1,.000,3,5,.600,1,0,1,3,0,0,5,2,15,+16,27:17,.670,.667,.111,.556,6.8,0.0,2.4,12.4,0.0,0.0,30.9,26.1,100,122,-11.5
T.J. McConnell,25:20,3,5,.600,0,0,,0,0,,0,4,4,14,3,1,5,0,6,+14,25:20,.600,.600,.000,.000,0.0,16.1,10.4,56.1,5.8,3.2,50.0,17.3,117,102,7.2
Buddy Hield,23:14,7,11,.636,4,6,.667,0,0,,0,3,3,2,0,3,2,3,18,+14,23:14,.818,.818,.545,.000,0.0,13.2,8.5,10.7,0.0,10.5,15.4,24.6,132,110,6.9
Obi Toppin,20:33,7,7,1.000,0,0,,4,4,1.000,2,5,7,4,0,0,1,4,18,+10,20:33,1.027,1.000,.000,.571,18.0,24.8,22.4,25.5,0.0,0.0,10.2,20.9,190,114,12.0
Isaiah Jackson,18:22,6,7,.857,0,0,,0,0,,1,4,5,2,4,3,2,3,12,+11,18:22,.857,.857,.000,.000,10.1,22.2,17.9,14.0,10.6,13.3,22.2,21.5,130,82,15.2
Oscar Tshiebwe,3:42,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,4,-2,3:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,121,-11.6
Kendall Brown,3:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2,3:42,.000,.000,.000,.000,0.0,27.6,17.8,49.0,0.0,0.0,0.0,11.9,120,113,1.5
Jordan Nwora,3:42,0,1,.000,0,0,,0,0,,0,1,1,2,0,0,0,0,0,-2,3:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-6.0
Ben Sheppard,3:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,3:42,1.000,1.000,.000,.000,0.0,27.6,17.8,0.0,0.0,0.0,0.0,23.7,200,113,10.7
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,53,79,.671,11,18,.611,9,12,.750,10,35,45,41,12,9,25,21,126,,240,.748,.741,.228,.152,38.5,74.5,61.6,77.4,12.2,15.3,22.9,100.0,128.0,109.7,
