Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jayson Tatum,29:30,9,17,.529,4,7,.571,5,7,.714,1,7,8,5,1,1,2,2,27,+9,29:30,.672,.647,.412,.412,3.6,20.7,13.0,22.4,1.5,2.4,9.1,30.7,136,104,9.6
Jaylen Brown,28:27,11,15,.733,4,6,.667,6,10,.600,1,5,6,2,2,2,3,5,32,+19,28:27,.825,.867,.400,.667,3.7,15.3,10.1,10.4,3.2,4.9,13.4,32.3,141,101,13.7
Kristaps Porziņģis,28:07,6,11,.545,3,5,.600,2,2,1.000,1,6,7,5,1,3,2,3,17,+23,28:07,.715,.682,.455,.182,3.8,18.6,12.0,20.9,1.6,7.4,14.4,20.3,140,102,10.8
Jrue Holiday,26:06,4,10,.400,1,4,.250,2,2,1.000,2,4,6,3,0,0,1,2,11,+22,26:06,.506,.450,.400,.200,8.2,13.4,11.0,12.6,0.0,0.0,8.4,18.7,120,112,-4.4
Derrick White,25:15,5,9,.556,3,5,.600,0,0,,1,2,3,5,2,0,0,1,13,+29,25:15,.722,.722,.556,.000,4.2,6.9,5.7,22.9,3.6,0.0,0.0,14.6,168,107,11.2
Payton Pritchard,22:35,7,10,.700,3,6,.500,2,2,1.000,2,2,4,3,0,0,2,1,19,+12,22:35,.873,.850,.600,.200,9.4,7.7,8.5,17.7,0.0,0.0,15.5,23.4,155,114,9.2
Al Horford,20:24,2,3,.667,1,2,.500,2,2,1.000,0,4,4,1,0,1,0,0,7,+30,20:24,.902,.833,.667,.667,0.0,17.1,9.4,5.1,0.0,3.4,0.0,7.8,191,108,5.5
Sam Hauser,20:14,2,9,.222,2,8,.250,0,0,,0,6,6,0,0,0,0,0,6,+20,20:14,.333,.333,.889,.000,0.0,25.9,14.2,0.0,0.0,0.0,0.0,18.2,72,107,-10.5
Luke Kornet,14:21,1,2,.500,0,0,,0,0,,1,1,2,0,0,1,0,5,2,0,14:21,.500,.500,.000,.000,7.4,6.1,6.7,0.0,0.0,4.8,0.0,5.7,131,112,-8.5
Svi Mykhailiuk,9:08,2,5,.400,2,3,.667,0,0,,1,0,1,0,0,0,0,1,6,-1,9:08,1.250,1.250,.500,.000,0.0,28.7,15.8,26.0,5.0,0.0,0.0,9.0,249,95,23.5
Oshae Brissett,9:08,2,2,1.000,1,1,1.000,0,0,,0,3,3,2,1,0,0,1,5,-1,9:08,.600,.600,.600,.000,11.7,0.0,5.3,0.0,0.0,0.0,0.0,22.5,131,117,-0.9
Lamar Stevens,6:45,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2,6:45,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,18.2,0,118,-25.1
Dalano Banton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,51,95,.537,24,47,.511,19,25,.760,10,40,50,26,7,8,11,21,145,,240,.684,.663,.495,.263,22.2,72.7,50.0,51.0,6.6,11.6,9.4,100.0,137.2,106.9,
