Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Isaiah Hartenstein,42:07,5,6,.833,0,0,,2,4,.500,7,13,20,2,2,4,3,1,12,+7,42:07,.773,.833,.000,.667,19.5,29.6,25.0,6.6,2.4,9.3,27.9,10.8,127,91,4.7
Miles McBride,38:03,7,10,.700,4,7,.571,1,2,.500,0,6,6,5,1,1,3,3,19,+13,38:03,.873,.900,.700,.200,0.0,15.1,8.3,20.2,1.3,2.6,21.6,15.4,138,102,5.9
Julius Randle,35:37,9,21,.429,1,6,.167,5,6,.833,5,6,11,5,0,1,6,2,24,+10,35:37,.508,.452,.286,.286,16.4,16.2,16.3,24.2,0.0,2.8,20.2,35.2,102,105,-3.9
Donte DiVincenzo,32:56,4,14,.286,3,11,.273,2,3,.667,0,3,3,4,4,0,2,2,13,+8,32:56,.424,.393,.786,.214,0.0,8.7,4.8,17.1,6.1,0.0,11.5,22.3,98,95,-0.9
OG Anunoby,31:40,7,15,.467,1,4,.250,3,4,.750,2,3,5,2,1,4,4,1,18,+7,31:40,.537,.500,.267,.267,7.4,9.1,8.3,10.3,1.6,12.4,19.3,27.8,99,97,0.7
Josh Hart,28:43,3,7,.429,2,4,.500,0,0,,0,7,7,3,2,0,2,2,8,+7,28:43,.571,.571,.571,.000,0.0,23.4,12.9,14.3,3.5,0.0,22.2,13.3,105,97,0.4
Quentin Grimes,15:04,1,5,.200,1,4,.250,0,0,,0,2,2,1,0,0,0,1,3,+4,15:04,.300,.300,.800,.000,0.0,12.7,7.0,8.7,0.0,0.0,0.0,14.1,89,108,-10.5
Malachi Flynn,9:57,4,5,.800,1,2,.500,0,0,,0,1,1,3,1,0,1,3,9,-1,9:57,.900,.900,.400,.000,0.0,9.6,5.3,69.9,5.1,0.0,16.7,25.5,156,97,17.5
Precious Achiuwa,5:53,0,0,,0,0,,0,0,,1,0,1,0,0,1,1,0,0,+5,5:53,,,,,19.9,0.0,9.0,0.0,0.0,16.7,100.0,7.2,42,100,-8.1
Ryan Arcidiacono,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Charlie Brown Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Brunson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Evan Fournier,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jericho Sims,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,83,.482,13,38,.342,13,19,.684,15,41,56,25,11,11,22,15,106,,240,.580,.560,.458,.229,36.6,82.0,61.5,62.5,11.5,22.4,19.4,100.0,111.0,98.5,
