Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,36:22,8,19,.421,0,4,.000,4,7,.571,2,7,9,8,0,2,2,4,20,-7,36:22,.453,.421,.211,.368,5.9,18.1,12.4,37.1,0.0,4.6,8.3,29.0,104,115,2.2
Caleb Houstan,34:39,5,13,.385,4,12,.333,0,0,,1,2,3,2,1,0,3,0,14,-13,34:39,.538,.538,.923,.000,3.1,5.4,4.3,8.6,1.4,0.0,18.8,20.2,93,119,-1.8
Goga Bitadze,22:11,4,6,.667,0,1,.000,0,0,,2,7,9,2,2,0,1,2,8,-1,22:11,.667,.667,.167,.000,9.6,29.7,20.3,14.3,4.5,0.0,14.3,13.8,127,105,5.9
Jalen Suggs,19:41,4,8,.500,1,3,.333,0,0,,1,3,4,0,0,0,1,3,9,-9,19:41,.563,.563,.375,.000,5.4,14.3,10.2,0.0,0.0,0.0,11.1,20.0,102,119,-6.5
Chuma Okeke,19:00,2,6,.333,1,5,.200,0,0,,1,3,4,2,0,0,0,1,5,-3,19:00,.417,.417,.833,.000,5.6,14.9,10.5,14.9,0.0,0.0,0.0,13.8,108,119,-1.5
Anthony Black,33:08,5,8,.625,0,1,.000,3,6,.500,0,4,4,1,1,1,1,2,13,-9,33:08,.611,.625,.125,.750,0.0,11.4,6.0,4.6,1.5,2.5,8.6,15.4,114,115,-0.6
Cole Anthony,24:35,6,11,.545,1,3,.333,1,2,.500,2,2,4,2,1,1,2,4,14,-6,24:35,.589,.591,.273,.182,8.7,7.7,8.1,14.3,2.0,3.4,14.4,24.7,109,115,1.7
Moritz Wagner,18:13,2,6,.333,0,3,.000,0,0,,0,4,4,2,0,1,3,1,4,-9,18:13,.333,.333,.500,.000,0.0,20.7,11.0,15.6,0.0,4.5,33.3,21.6,55,114,-11.7
Trevelin Queen,17:05,3,6,.500,0,3,.000,1,1,1.000,0,4,4,1,0,3,2,2,7,+4,17:05,.543,.500,.500,.167,0.0,22.0,11.7,9.2,0.0,14.5,23.7,21.6,86,107,0.7
Jonathan Isaac,15:06,0,1,.000,0,0,,6,8,.750,2,3,5,1,0,0,0,3,6,-7,15:06,.664,.000,.000,8.000,14.1,18.7,16.6,8.2,0.0,0.0,0.0,13.1,161,118,0.3
Wendell Carter Jr.,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Admiral Schofield,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,39,84,.464,7,35,.200,15,24,.625,11,39,50,21,5,8,15,22,100,,240,.529,.506,.417,.286,24.4,76.5,52.1,53.8,5.1,13.8,13.7,100.0,102.9,115.2,
