Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Vince Williams Jr.,37:52,6,11,.545,3,6,.500,9,10,.900,3,4,7,4,2,1,3,2,24,+2,37:52,.779,.682,.545,.909,7.8,13.3,10.2,20.8,2.5,2.1,16.3,20.4,142,107,5.9
Jaren Jackson Jr.,33:18,4,20,.200,3,14,.214,7,8,.875,0,5,5,5,4,1,1,1,18,-9,33:18,.383,.275,.700,.400,0.0,19.0,8.3,27.5,5.7,2.4,4.1,30.8,92,99,-1.0
Luke Kennard,31:56,2,9,.222,2,7,.286,5,5,1.000,1,1,2,5,1,0,1,1,11,+15,31:56,.491,.333,.778,.556,3.1,4.0,3.5,25.9,1.5,0.0,8.2,16.0,119,112,-4.9
Xavier Tillman Sr.,30:17,1,6,.167,0,2,.000,0,0,,1,3,4,3,1,2,0,0,2,+13,30:17,.167,.167,.333,.000,3.2,12.5,7.3,15.6,1.6,5.4,0.0,8.3,77,106,-5.6
Ziaire Williams,19:48,1,6,.167,1,5,.200,1,4,.250,2,1,3,0,1,0,1,2,4,-13,19:48,.258,.250,.833,.667,9.9,6.4,8.4,0.0,2.4,0.0,11.4,18.5,63,110,-16.1
GG Jackson II,29:10,6,9,.667,5,8,.625,6,8,.750,1,5,6,1,2,2,2,3,23,+23,29:10,.919,.944,.889,.889,3.4,21.7,11.3,7.4,3.2,5.6,13.8,20.9,145,101,12.4
David Roddy,21:24,5,12,.417,2,4,.500,0,0,,3,4,7,2,0,0,2,1,12,+9,21:24,.500,.500,.333,.000,13.7,23.6,18.0,21.6,0.0,0.0,14.3,27.4,99,112,-5.9
Jacob Gilyard,19:07,4,7,.571,3,4,.750,0,0,,0,2,2,3,2,1,0,0,11,+11,19:07,.786,.786,.571,.000,0.0,13.2,5.8,34.3,4.9,4.3,0.0,15.3,160,100,14.3
Santi Aldama,17:06,3,6,.500,1,4,.250,4,5,.800,0,6,6,1,0,3,1,2,11,-6,17:06,.671,.583,.667,.833,0.0,44.3,19.4,11.9,0.0,14.3,10.9,22.5,123,97,5.4
John Konchar,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jake LaRavia,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Derrick Rose,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,32,86,.372,20,54,.370,32,40,.800,11,31,42,24,13,10,11,12,116,,240,.560,.488,.628,.465,22.4,81.6,48.3,75.0,12.7,16.9,9.6,100.0,113.7,104.9,
