Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Fred VanVleet,32:32,2,5,.400,2,4,.500,2,4,.500,0,1,1,5,0,2,1,4,8,-12,32:32,.592,.600,.800,.800,0.0,3.9,1.7,18.0,0.0,5.7,12.9,9.9,127,132,-2.8
Dillon Brooks,31:21,7,9,.778,2,3,.667,2,4,.500,2,4,6,0,2,0,0,2,18,-6,31:21,.836,.889,.333,.444,6.2,16.1,10.6,0.0,3.1,0.0,0.0,14.3,171,126,8.1
Jabari Smith Jr.,31:00,5,9,.556,0,1,.000,3,5,.600,1,6,7,2,0,0,2,3,13,-8,31:00,.580,.556,.111,.556,3.2,24.4,12.5,8.5,0.0,0.0,15.2,17.8,110,132,-5.0
Alperen Sengun,30:09,7,15,.467,1,1,1.000,4,6,.667,5,4,9,6,1,2,5,1,19,-4,30:09,.539,.500,.067,.400,16.2,16.8,16.5,29.1,1.6,6.1,22.1,31.3,106,125,4.4
Jalen Green,27:17,7,16,.438,1,7,.143,5,7,.714,0,5,5,3,0,0,2,2,20,-7,27:17,.524,.469,.438,.438,0.0,23.1,10.1,16.7,0.0,0.0,9.5,32.2,109,132,-4.0
Cam Whitmore,23:25,6,12,.500,2,5,.400,0,1,.000,2,4,6,1,1,0,0,3,14,0,23:25,.563,.583,.417,.083,8.4,21.6,14.1,6.5,2.1,0.0,0.0,22.2,128,127,1.7
Amen Thompson,19:16,7,8,.875,0,1,.000,0,1,.000,2,1,3,0,1,0,1,2,14,-5,19:16,.829,.875,.125,.125,10.2,6.6,8.6,0.0,2.6,0.0,10.6,20.4,143,129,5.0
Jae'Sean Tate,12:48,1,4,.250,0,3,.000,0,0,,1,3,4,2,0,0,0,4,2,+5,12:48,.250,.250,.750,.000,7.7,29.6,17.2,18.6,0.0,0.0,0.0,13.0,96,130,-10.2
Jeff Green,12:33,0,5,.000,0,1,.000,1,2,.500,1,1,2,0,0,2,1,1,1,-30,12:33,.085,.000,.200,.400,7.8,10.1,8.8,0.0,0.0,14.7,14.5,22.9,30,124,-19.5
Jock Landale,8:45,2,2,1.000,0,0,,0,0,,1,0,1,0,1,3,0,0,4,+17,8:45,1.000,1.000,.000,.000,11.2,0.0,6.3,0.0,5.6,31.6,0.0,9.5,202,100,23.4
Aaron Holiday,5:30,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0,-5,5:30,.000,.000,1.000,.000,0.0,23.0,10.0,19.8,0.0,0.0,0.0,7.6,61,132,-9.6
Jeenathan Williams,5:23,0,2,.000,0,0,,2,2,1.000,1,0,1,1,1,0,1,1,2,+10,5:23,.347,.000,.000,1.000,18.2,0.0,10.2,20.3,9.1,0.0,25.8,30.1,84,115,-4.5
Reggie Bullock,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,88,.500,8,27,.296,19,32,.594,16,30,46,21,7,9,13,23,115,,240,.563,.545,.307,.364,32.7,78.9,52.9,47.7,7.2,17.3,11.3,100.0,117.7,127.0,
