Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bennedict Mathurin,25:27,5,10,.500,0,1,.000,1,1,1.000,1,0,1,2,0,0,0,1,11,-18,25:27,.527,.500,.100,.100,3.5,0.0,2.1,13.2,0.0,0.0,0.0,16.5,123,143,-4.9
Andrew Nembhard,23:05,5,10,.500,1,3,.333,3,3,1.000,0,0,0,4,1,0,2,2,14,-20,23:05,.618,.550,.300,.300,0.0,0.0,0.0,30.1,2.1,0.0,15.0,23.3,117,138,-0.6
Buddy Hield,22:43,5,8,.625,3,5,.600,1,1,1.000,1,1,2,1,0,0,1,1,14,-24,22:43,.829,.813,.625,.125,3.9,6.0,4.7,7.7,0.0,0.0,10.6,16.8,143,142,3.4
Jalen Smith,19:24,5,10,.500,2,5,.400,0,0,,1,5,6,3,0,1,2,5,12,-28,19:24,.600,.600,.500,.000,4.6,35.3,16.7,29.0,0.0,4.4,16.7,25.0,108,133,1.0
Myles Turner,17:09,4,8,.500,1,2,.500,3,4,.750,1,3,4,0,0,0,2,5,12,-8,17:09,.615,.563,.250,.500,5.2,24.0,12.6,0.0,0.0,0.0,17.0,27.7,104,138,-9.7
Jarace Walker,26:11,3,11,.273,2,5,.400,0,0,,2,2,4,4,4,2,1,2,8,-17,26:11,.364,.364,.455,.000,6.8,10.5,8.2,22.6,7.5,6.5,8.3,18.5,94,120,5.2
Ben Sheppard,25:22,1,7,.143,0,5,.000,2,2,1.000,2,1,3,2,0,0,0,4,4,-2,25:22,.254,.143,.714,.286,7.0,5.4,6.4,10.5,0.0,0.0,0.0,12.5,87,142,-13.9
T.J. McConnell,18:39,3,6,.500,0,0,,2,2,1.000,1,4,5,5,1,0,3,1,8,+3,18:39,.581,.500,.000,.333,4.8,29.4,14.5,42.5,2.6,0.0,30.4,21.4,101,131,-2.8
Jordan Nwora,16:43,3,10,.300,0,4,.000,1,2,.500,1,2,3,2,0,0,1,2,7,-19,16:43,.322,.300,.400,.200,5.3,16.4,9.7,19.5,0.0,0.0,8.4,28.7,78,140,-15.1
Obi Toppin,13:02,1,3,.333,0,0,,0,0,,1,2,3,2,1,0,0,1,2,+5,13:02,.333,.333,.000,.000,6.8,21.0,12.4,21.5,3.8,0.0,0.0,9.3,112,130,-2.1
Kendall Brown,12:00,2,5,.400,0,1,.000,4,6,.667,2,0,2,1,0,0,0,3,8,-1,12:00,.524,.400,.200,1.200,14.8,0.0,9.0,13.3,0.0,0.0,0.0,25.7,129,143,-4.0
Oscar Tshiebwe,12:00,1,5,.200,0,0,,2,2,1.000,4,2,6,0,2,0,0,0,4,-1,12:00,.340,.200,.000,.400,29.6,22.9,27.0,0.0,8.2,0.0,0.0,19.8,109,120,-1.0
Isaiah Jackson,7:40,0,2,.000,0,0,,1,2,.500,1,3,4,1,0,1,1,4,1,-5,7:40,.174,.000,.000,1.000,11.6,53.7,28.1,16.5,0.0,11.2,25.8,20.4,54,125,-19.6
James Johnson,0:33,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:33,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,143,-11.6
Team Totals,240,38,95,.400,9,31,.290,20,25,.800,18,25,43,27,9,4,13,31,105,,240,.495,.447,.326,.263,33.3,71.4,48.3,71.1,9.2,7.1,10.9,100.0,107.3,134.9,
