Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Paolo Banchero,32:36,9,19,.474,0,2,.000,2,5,.400,1,5,6,3,0,0,2,1,20,-12,32:36,.472,.474,.105,.263,3.6,16.0,10.2,17.8,0.0,0.0,8.6,33.7,96,112,-2.2
Goga Bitadze,29:00,1,3,.333,0,0,,1,2,.500,4,7,11,3,0,0,0,3,3,-10,29:00,.387,.333,.000,.667,16.1,25.2,20.9,13.7,0.0,0.0,0.0,6.3,139,107,-0.9
Jalen Suggs,26:51,1,8,.125,1,6,.167,1,2,.500,0,5,5,4,0,0,2,3,4,-6,26:51,.225,.188,.750,.250,0.0,19.4,10.3,19.7,0.0,0.0,18.4,19.2,61,110,-13.2
Chuma Okeke,25:31,5,7,.714,4,5,.800,1,1,1.000,2,1,3,0,0,1,0,1,15,-5,25:31,1.008,1.000,.714,.143,9.2,4.1,6.5,0.0,0.0,4.4,0.0,13.8,195,115,15.6
Caleb Houstan,21:23,1,7,.143,1,7,.143,4,5,.800,1,0,1,0,0,0,0,4,7,-11,21:23,.380,.214,1.000,.714,5.5,0.0,2.6,0.0,0.0,0.0,0.0,20.4,98,119,-11.8
Cole Anthony,26:06,6,12,.500,0,3,.000,3,4,.750,2,2,4,5,2,0,2,2,15,+18,26:06,.545,.500,.250,.333,9.0,8.0,8.5,34.1,4.3,0.0,12.7,28.6,115,106,8.4
Markelle Fultz,23:28,3,8,.375,0,0,,0,0,,1,4,5,7,0,0,0,2,6,+11,23:28,.375,.375,.000,.000,5.0,17.8,11.8,44.9,0.0,0.0,0.0,16.2,120,111,2.7
Joe Ingles,20:16,3,6,.500,0,1,.000,0,0,,0,1,1,4,0,0,1,2,6,+6,20:16,.500,.500,.167,.000,0.0,5.1,2.7,30.7,0.0,0.0,14.3,16.4,108,117,-3.9
Wendell Carter Jr.,18:53,7,11,.636,1,3,.333,2,2,1.000,1,2,3,0,0,1,0,1,17,+14,18:53,.715,.682,.273,.182,6.2,11.1,8.8,0.0,0.0,5.9,0.0,29.8,148,111,13.9
Jonathan Isaac,15:54,2,4,.500,1,2,.500,0,0,,1,6,7,0,0,1,0,1,5,+15,15:54,.625,.625,.500,.000,7.4,39.4,24.3,0.0,0.0,7.0,0.0,11.9,136,98,4.0
Anthony Black,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Trevelin Queen,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Moritz Wagner,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,38,85,.447,8,29,.276,14,21,.667,13,33,46,26,2,3,7,20,98,,240,.520,.494,.341,.247,31.7,71.7,52.9,68.4,2.4,7.0,6.9,100.0,115.2,110.5,
