Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kevin Durant,38:31,7,16,.438,4,8,.500,9,9,1.000,1,4,5,4,0,2,7,3,27,-4,38:31,.676,.563,.500,.563,3.7,11.6,8.1,15.0,0.0,4.8,26.0,30.6,107,116,-2.1
Devin Booker,38:14,5,14,.357,1,3,.333,5,6,.833,0,4,4,11,0,0,2,4,16,+16,38:14,.481,.393,.214,.429,0.0,11.7,6.5,38.7,0.0,0.0,10.7,21.3,119,120,-4.7
Bradley Beal,38:12,6,14,.429,0,4,.000,1,2,.500,1,2,3,5,2,0,1,2,13,-12,38:12,.437,.429,.286,.143,3.7,5.8,4.9,18.2,2.5,0.0,6.3,18.2,104,115,-5.4
Grayson Allen,37:10,10,17,.588,9,14,.643,0,0,,0,5,5,6,2,2,2,1,29,+21,37:10,.853,.853,.824,.000,0.0,15.0,8.4,26.6,2.5,5.0,10.5,22.3,146,110,17.7
Jusuf Nurkić,27:23,4,5,.800,0,0,,2,2,1.000,3,12,15,3,0,1,1,3,10,-8,27:23,.850,.800,.000,.400,15.5,48.9,34.1,15.0,0.0,3.4,14.5,11.0,166,113,5.1
Eric Gordon,23:54,5,10,.500,3,7,.429,0,0,,0,3,3,2,2,0,2,0,13,+10,23:54,.650,.650,.700,.000,0.0,14.0,7.8,12.6,4.0,0.0,16.7,21.9,105,112,2.7
Josh Okogie,15:54,1,3,.333,0,0,,0,0,,0,2,2,0,0,1,0,1,2,-9,15:54,.333,.333,.000,.000,0.0,14.0,7.8,0.0,0.0,5.8,0.0,8.2,70,115,-7.3
Chimezie Metu,10:21,3,5,.600,0,1,.000,0,0,,0,5,5,1,0,0,1,1,6,+2,10:21,.600,.600,.200,.000,0.0,53.9,30.1,16.5,0.0,0.0,16.7,25.3,99,115,-3.5
Drew Eubanks,10:20,1,1,1.000,0,0,,1,1,1.000,3,1,4,0,1,0,0,0,3,-6,10:20,1.042,1.000,.000,1.000,41.0,10.8,24.1,0.0,4.6,0.0,0.0,6.1,230,110,6.7
Udoka Azubuike,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Keita Bates-Diop,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Goodwin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nassir Little,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Yuta Watanabe,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,42,85,.494,17,37,.459,18,20,.900,8,38,46,32,7,6,16,15,119,,240,.634,.594,.435,.235,23.5,88.4,59.7,76.2,6.9,11.5,14.6,100.0,117.1,115.1,
