Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Luka Dončić,36:12,12,24,.500,2,9,.222,7,9,.778,0,13,13,10,2,2,4,2,33,-15,36:12,.590,.542,.375,.375,0.0,42.0,19.6,50.8,2.6,4.2,12.5,37.2,117,115,13.9
Kyrie Irving,32:14,4,16,.250,1,5,.200,3,3,1.000,0,5,5,6,0,0,2,2,12,-14,32:14,.346,.281,.313,.188,0.0,18.2,8.5,24.8,0.0,0.0,10.4,25.3,83,129,-10.2
Tim Hardaway Jr.,28:17,5,17,.294,0,7,.000,2,2,1.000,2,2,4,1,1,0,4,2,12,-10,28:17,.336,.294,.412,.118,7.2,8.3,7.7,5.1,1.7,0.0,18.3,32.6,65,127,-17.9
Dereck Lively II,28:01,8,9,.889,0,0,,0,0,,5,6,11,2,1,0,2,2,16,-5,28:01,.889,.889,.000,.000,18.2,25.1,21.4,12.1,1.7,0.0,18.2,16.5,149,124,6.4
Derrick Jones Jr.,26:38,3,3,1.000,2,2,1.000,0,0,,1,0,1,0,0,1,0,2,8,-25,26:38,1.333,1.333,.667,.000,3.8,0.0,2.0,0.0,0.0,2.9,0.0,4.7,259,129,2.3
Grant Williams,25:42,2,6,.333,2,6,.333,2,2,1.000,0,3,3,2,0,0,0,3,8,-1,25:42,.581,.500,1.000,.333,0.0,13.7,6.4,9.8,0.0,0.0,0.0,11.3,132,129,-2.5
Maxi Kleber,21:11,2,3,.667,2,3,.667,0,0,,1,0,1,3,0,2,1,5,6,-17,21:11,1.000,1.000,1.000,.000,4.8,0.0,2.6,18.1,0.0,7.2,25.0,8.0,153,125,4.3
Jaden Hardy,20:09,3,7,.429,1,5,.200,0,0,,0,0,0,0,0,0,1,0,7,-7,20:09,.500,.500,.714,.000,0.0,0.0,0.0,0.0,0.0,0.0,12.5,16.7,85,132,-9.4
Dwight Powell,6:54,0,0,,0,0,,1,2,.500,2,2,4,0,0,0,1,1,1,+6,6:54,.568,,,,29.6,33.9,31.6,0.0,0.0,0.0,53.2,11.5,98,126,-10.9
Seth Curry,5:14,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-9,5:14,.000,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0,132,-23.2
Brandon Williams,4:44,2,3,.667,1,2,.500,0,0,,0,1,1,2,0,0,0,0,5,+6,4:44,1.000,1.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,200,132,0.8
A.J. Lawson,4:44,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,+6,4:44,.833,.833,.667,.000,0.0,24.7,11.5,93.4,0.0,0.0,0.0,26.7,180,128,28.7
Richaun Holmes,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Markieff Morris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,91,.462,11,40,.275,15,18,.833,11,32,43,26,4,5,15,19,110,,240,.556,.522,.440,.198,23.4,78.0,48.9,61.9,4.0,7.9,13.2,100.0,109.1,126.0,
