Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Fred VanVleet,41:17,8,19,.421,5,12,.417,3,3,1.000,0,3,3,12,1,0,1,3,24,-7,41:17,.591,.553,.632,.158,0.0,7.9,3.9,54.3,1.2,0.0,4.7,24.2,125,121,8.6
Dillon Brooks,39:49,4,13,.308,1,6,.167,2,2,1.000,0,1,1,0,1,1,1,3,11,-8,39:49,.396,.346,.462,.154,0.0,2.7,1.4,0.0,1.3,2.4,6.7,17.5,73,121,-9.0
Alperen Sengun,39:47,7,16,.438,0,1,.000,4,7,.571,3,7,10,5,1,4,3,3,18,-16,39:47,.472,.438,.063,.438,8.0,19.2,13.6,22.7,1.3,9.7,13.6,26.0,95,111,2.3
Jabari Smith Jr.,31:17,5,9,.556,1,2,.500,0,0,,2,4,6,1,1,0,0,2,11,-20,31:17,.611,.611,.222,.000,6.8,13.9,10.3,5.6,1.6,0.0,0.0,13.5,126,118,0.4
Jalen Green,29:12,6,15,.400,0,5,.000,3,3,1.000,0,7,7,1,1,0,5,2,15,-11,29:12,.460,.400,.333,.200,0.0,26.2,12.9,6.5,1.7,0.0,23.5,34.2,69,113,-11.7
Jeff Green,21:29,2,4,.500,1,2,.500,4,4,1.000,1,4,5,0,0,2,0,2,9,-6,21:29,.781,.625,.500,1.000,5.0,20.3,12.6,0.0,0.0,8.9,0.0,12.6,163,114,5.5
Jae'Sean Tate,13:51,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,0,0,0,2,+1,13:51,.500,.500,.500,.000,0.0,15.8,7.8,22.0,0.0,0.0,0.0,6.8,124,121,-0.2
Amen Thompson,10:09,2,3,.667,0,0,,0,0,,0,1,1,1,1,2,0,2,4,-5,10:09,.667,.667,.000,.000,0.0,10.7,5.3,18.5,5.0,18.9,0.0,13.9,134,99,13.1
Cam Whitmore,8:56,0,3,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0,-7,8:56,.000,.000,.333,.000,0.0,24.4,12.1,0.0,0.0,0.0,0.0,15.7,0,118,-22.0
Aaron Holiday,4:10,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,+4,4:10,,,,,0.0,26.2,12.9,32.9,0.0,0.0,,0.0,223,117,-0.6
Jock Landale,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jeenathan Williams,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,84,.417,8,30,.267,16,19,.842,6,32,38,23,6,9,10,18,94,,240,.509,.464,.357,.226,13.3,72.7,42.7,65.7,6.4,18.0,9.8,100.0,99.8,115.7,
