Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
DeMar DeRozan,38:03,9,20,.450,0,4,.000,6,7,.857,1,6,7,6,1,0,2,2,24,+6,38:03,.520,.450,.200,.350,3.2,18.9,11.0,20.7,1.3,0.0,8.0,29.2,110,115,-1.8
Coby White,35:12,10,19,.526,1,6,.167,2,3,.667,2,6,8,4,2,0,2,2,23,+23,35:12,.566,.553,.316,.158,6.8,20.5,13.6,15.9,2.8,0.0,9.0,28.1,113,111,1.7
Nikola Vučević,34:52,12,20,.600,0,3,.000,0,0,,5,9,14,7,2,1,0,1,24,+23,34:52,.600,.600,.150,.000,17.2,31.0,24.1,30.6,2.8,3.1,0.0,25.4,139,107,13.7
Alex Caruso,27:34,4,6,.667,2,4,.500,0,0,,0,3,3,4,2,2,1,4,10,+3,27:34,.833,.833,.667,.000,0.0,13.1,6.5,17.0,3.6,7.7,14.3,11.2,144,105,8.4
Zach LaVine,24:12,3,7,.429,1,3,.333,1,1,1.000,0,2,2,3,0,0,2,4,8,-4,24:12,.538,.500,.429,.143,0.0,9.9,5.0,14.2,0.0,0.0,21.2,17.3,95,119,-9.1
Ayo Dosunmu,32:02,4,9,.444,0,1,.000,2,2,1.000,0,1,1,5,0,1,0,2,10,+10,32:02,.506,.444,.111,.222,0.0,3.7,1.9,17.8,0.0,3.3,0.0,13.6,123,117,-2.6
Patrick Williams,23:26,5,9,.556,2,3,.667,0,0,,0,0,0,1,0,0,0,3,12,-2,23:26,.667,.667,.333,.000,0.0,0.0,0.0,5.4,0.0,0.0,0.0,17.0,133,120,-1.8
Dalen Terry,11:59,0,0,,0,0,,0,0,,1,2,3,0,0,0,2,3,0,-13,11:59,,,,,10.0,20.0,15.0,0.0,0.0,0.0,100.0,7.4,35,117,-17.9
Andre Drummond,9:42,1,1,1.000,0,0,,3,4,.750,0,4,4,0,0,1,1,1,5,-12,9:42,.906,1.000,.000,4.000,0.0,49.5,24.7,0.0,0.0,11.0,26.6,17.2,129,105,1.9
Jevon Carter,2:56,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4,2:56,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,120,-8.4
Torrey Craig,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Terry Taylor,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,91,.527,6,24,.250,14,17,.824,9,33,42,30,7,5,10,22,116,,240,.589,.560,.264,.187,22.5,82.5,52.5,62.5,7.2,11.1,9.2,100.0,119.1,113.0,
