Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
De'Aaron Fox,39:34,8,20,.400,3,7,.429,5,9,.556,1,5,6,6,1,0,1,2,24,+3,39:34,.501,.475,.350,.450,3.2,17.8,10.1,21.2,1.2,0.0,4.0,27.5,113,127,-3.3
Kevin Huerter,38:41,11,17,.647,7,12,.583,2,2,1.000,0,2,2,4,1,1,2,4,31,-3,38:41,.867,.853,.706,.118,0.0,7.3,3.4,16.4,1.2,2.2,10.1,22.4,151,126,9.8
Keegan Murray,38:07,11,18,.611,1,5,.200,4,5,.800,3,6,9,0,2,1,1,3,27,+10,38:07,.668,.639,.278,.278,9.9,22.2,15.7,0.0,2.5,2.2,4.7,24.3,132,122,1.6
Domantas Sabonis,38:03,8,13,.615,0,1,.000,5,8,.625,0,11,11,10,0,1,3,5,21,-4,38:03,.636,.615,.077,.615,0.0,40.8,19.3,37.2,0.0,2.3,15.4,22.4,128,126,3.6
Harrison Barnes,22:19,1,2,.500,0,1,.000,0,0,,0,1,1,1,0,0,1,1,2,0,22:19,.500,.500,.500,.000,0.0,6.3,3.0,5.1,0.0,0.0,33.3,5.9,79,131,-10.2
Malik Monk,26:11,3,9,.333,2,6,.333,1,6,.167,1,2,3,4,1,2,1,3,9,-7,26:11,.387,.444,.667,.667,4.8,10.8,7.6,19.0,1.8,6.5,7.9,21.1,93,120,-4.3
Trey Lyles,19:17,0,2,.000,0,2,.000,0,0,,1,2,3,2,1,0,0,0,0,-9,19:17,.000,.000,1.000,.000,6.6,14.6,10.4,11.3,2.5,0.0,0.0,4.5,89,125,-4.6
Sasha Vezenkov,10:46,2,3,.667,2,3,.667,1,2,.500,2,1,3,0,1,1,0,1,7,-6,10:46,.902,1.000,1.000,.667,23.5,13.1,18.6,0.0,4.4,8.0,0.0,15.7,178,113,17.0
Alex Len,5:05,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,2,1,0,-5,5:05,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,66.7,25.7,0,131,-39.1
Keon Ellis,1:54,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-4,1:54,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,131,-9.3
Chris Duarte,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kessler Edwards,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
JaVale McGee,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Davion Mitchell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Juan Toscano-Anderson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,85,.518,15,37,.405,18,32,.563,8,30,38,27,7,6,11,20,121,,240,.611,.606,.435,.376,21.1,88.2,52.8,61.4,6.9,10.7,10.0,100.0,119.7,124.7,
