Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Dejounte Murray,39:46,9,22,.409,3,7,.429,1,1,1.000,0,3,3,11,2,0,2,2,22,+3,39:46,.490,.477,.318,.045,0.0,8.6,4.4,45.6,2.6,0.0,8.2,27.4,114,115,5.1
Saddiq Bey,36:00,4,12,.333,0,5,.000,6,7,.857,1,1,2,0,0,0,1,2,14,-2,36:00,.464,.333,.417,.583,3.3,3.2,3.3,0.0,0.0,0.0,6.2,19.9,98,123,-9.0
Bogdan Bogdanović,34:55,6,15,.400,3,7,.429,2,2,1.000,0,3,3,1,0,0,3,2,17,+1,34:55,.535,.500,.467,.133,0.0,9.8,5.0,4.3,0.0,0.0,15.9,24.1,92,120,-7.0
Jalen Johnson,33:37,7,14,.500,1,4,.250,0,0,,2,5,7,2,2,0,2,1,15,+1,33:37,.536,.536,.286,.000,7.1,17.0,12.2,9.5,3.0,0.0,12.5,21.3,104,111,0.4
Clint Capela,22:13,2,4,.500,0,0,,5,7,.714,5,6,11,0,0,1,0,2,9,-12,22:13,.636,.500,.000,1.750,27.0,30.9,29.0,0.0,0.0,4.2,0.0,14.2,158,110,2.1
Onyeka Okongwu,25:49,4,5,.800,1,1,1.000,0,0,,1,4,5,1,1,1,2,5,9,+13,25:49,.900,.900,.200,.000,4.6,17.7,11.3,5.7,2.0,3.6,28.6,12.1,123,111,0.8
Garrison Mathews,19:56,3,5,.600,3,4,.750,0,0,,0,3,3,3,0,0,1,2,9,+12,19:56,.900,.900,.800,.000,0.0,17.2,8.8,22.0,0.0,0.0,16.7,13.4,151,118,8.4
Patty Mills,18:02,4,6,.667,3,5,.600,0,0,,0,3,3,2,1,0,1,4,11,-7,18:02,.917,.917,.833,.000,0.0,19.0,9.7,18.1,2.8,0.0,14.3,17.3,151,110,10.9
Trent Forrest,9:42,1,4,.250,1,2,.500,0,0,,0,1,1,3,0,0,1,0,3,-4,9:42,.375,.375,.500,.000,0.0,11.8,6.0,42.4,0.0,0.0,20.0,23.0,91,120,-3.3
Bruno Fernando,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
AJ Griffin,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Seth Lundy,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,40,87,.460,15,35,.429,14,17,.824,9,29,38,23,6,2,13,20,109,,240,.577,.546,.402,.195,22.5,69.0,46.3,57.5,6.4,3.9,12.1,100.0,116.1,115.1,
