Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Ingram,33:12,5,11,.455,1,5,.200,6,9,.667,0,7,7,11,0,0,2,2,17,-10,33:12,.568,.500,.455,.818,0.0,25.3,11.2,47.1,0.0,0.0,11.8,21.5,121,123,5.6
Zion Williamson,32:44,11,17,.647,1,1,1.000,1,3,.333,1,2,3,1,0,1,2,2,24,-23,32:44,.655,.676,.059,.176,2.9,7.3,4.9,5.9,0.0,2.8,9.8,26.1,111,124,1.7
CJ McCollum,31:27,5,13,.385,1,7,.143,2,3,.667,0,4,4,4,0,2,1,1,13,-8,31:27,.454,.423,.538,.231,0.0,15.3,6.8,18.3,0.0,5.9,6.5,20.5,95,120,-1.4
Jonas Valančiūnas,25:33,5,10,.500,0,2,.000,6,6,1.000,4,7,11,3,0,0,2,3,16,-20,25:33,.633,.500,.200,.600,15.0,32.9,23.0,17.8,0.0,0.0,13.7,24.1,126,122,2.9
Herbert Jones,23:23,4,9,.444,1,6,.167,0,0,,1,2,3,2,0,0,1,1,9,-9,23:23,.500,.500,.667,.000,4.1,10.3,6.8,12.5,0.0,0.0,10.0,18.0,98,126,-4.2
Trey Murphy III,23:33,2,8,.250,1,5,.200,0,0,,1,1,2,1,1,1,0,3,5,-16,23:33,.313,.313,.625,.000,4.1,5.1,4.5,5.5,2.0,3.9,0.0,14.3,77,119,-6.6
Larry Nance Jr.,18:28,1,2,.500,1,2,.500,0,0,,0,5,5,1,0,0,0,1,3,-4,18:28,.750,.750,1.000,.000,0.0,32.5,14.4,6.8,0.0,0.0,0.0,4.6,151,122,-1.5
Jordan Hawkins,16:47,5,11,.455,3,8,.375,0,0,,0,2,2,1,0,0,1,0,13,-4,16:47,.591,.591,.727,.000,0.0,14.3,6.4,10.7,0.0,0.0,8.3,30.1,101,125,2.9
Naji Marshall,12:51,1,4,.250,1,2,.500,2,2,1.000,0,0,0,1,0,0,1,0,5,0,12:51,.512,.375,.500,.500,0.0,0.0,0.0,10.0,0.0,0.0,17.0,19.2,93,128,-5.5
Dyson Daniels,10:57,1,4,.250,0,1,.000,0,0,,1,2,3,1,2,0,1,2,2,+3,10:57,.250,.250,.250,.000,8.8,21.9,14.6,12.0,8.6,0.0,20.0,19.2,62,104,-4.5
Jose Alvarado,7:06,1,4,.250,0,3,.000,0,0,,0,0,0,1,0,0,0,1,2,+11,7:06,.250,.250,.750,.000,0.0,0.0,0.0,19.7,0.0,0.0,0.0,23.7,64,127,-15.3
Cody Zeller,3:59,0,0,,0,0,,0,0,,1,1,2,0,1,1,0,0,0,+10,3:59,,,,,24.1,30.1,26.8,0.0,11.8,23.2,,0.0,220,77,17.4
Team Totals,240,41,93,.441,10,42,.238,17,23,.739,9,33,42,27,4,5,11,16,109,,240,.529,.495,.452,.247,18.0,82.5,46.7,65.9,3.9,9.6,9.6,100.0,107.0,120.7,
