Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jaden Ivey,32:30,6,16,.375,2,5,.400,4,7,.571,2,4,6,6,0,1,3,5,18,-15,32:30,.472,.438,.313,.438,5.9,15.1,10.0,25.2,0.0,2.8,13.6,28.1,101,134,-7.8
Bojan Bogdanović,32:02,5,15,.333,3,7,.429,6,8,.750,0,1,1,2,0,0,1,5,19,-29,32:02,.513,.433,.467,.533,0.0,3.8,1.7,8.2,0.0,0.0,5.1,25.2,104,138,-10.2
Jalen Duren,30:12,4,8,.500,0,0,,0,0,,2,7,9,1,1,0,1,5,8,-22,30:12,.500,.500,.000,.000,6.4,28.5,16.1,4.2,1.5,0.0,11.1,12.3,104,131,-9.2
Killian Hayes,17:38,1,3,.333,0,0,,0,0,,0,1,1,5,1,0,1,3,2,-19,17:38,.333,.333,.000,.000,0.0,7.0,3.1,33.0,2.6,0.0,25.0,9.4,106,132,-6.2
Kevin Knox,15:41,1,5,.200,1,2,.500,0,0,,0,3,3,0,1,0,0,3,3,-22,15:41,.300,.300,.400,.000,0.0,23.5,10.3,0.0,2.9,0.0,0.0,13.2,61,128,-12.0
Ausar Thompson,32:04,10,15,.667,2,2,1.000,0,0,,5,4,9,1,0,1,1,4,22,+6,32:04,.733,.733,.133,.000,15.0,15.4,15.1,5.2,0.0,2.8,6.3,20.6,143,134,1.4
Alec Burks,29:53,9,20,.450,7,14,.500,8,8,1.000,0,7,7,6,1,0,0,2,33,+24,29:53,.702,.625,.700,.400,0.0,28.8,12.6,32.6,1.5,0.0,0.0,32.5,148,131,15.0
Danilo Gallinari,16:05,1,1,1.000,1,1,1.000,5,5,1.000,0,1,1,3,0,0,0,0,8,+20,16:05,1.250,1.500,1.000,5.000,0.0,7.7,3.4,21.8,0.0,0.0,0.0,8.2,257,138,8.7
Marcus Sasser,15:44,3,6,.500,1,2,.500,2,2,1.000,0,1,1,5,1,0,0,1,9,+8,15:44,.654,.583,.333,.333,0.0,7.8,3.4,43.8,2.9,0.0,0.0,18.1,157,131,7.4
Mike Muscala,13:38,4,4,1.000,4,4,1.000,1,2,.500,0,1,1,1,1,0,1,2,13,+19,13:38,1.332,1.500,1.000,.500,0.0,9.0,4.0,11.8,3.3,0.0,17.0,17.8,167,130,20.5
James Wiseman,4:33,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,0,4:33,.000,.000,.000,.000,0.0,27.0,11.9,0.0,0.0,0.0,0.0,9.1,0,135,-16.6
Joe Harris,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Isaiah Stewart,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,44,94,.468,21,37,.568,26,32,.813,9,31,40,30,6,2,8,30,135,,240,.625,.580,.394,.340,18.0,79.5,44.9,68.2,5.7,3.8,6.9,100.0,127.7,133.4,
