Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Shai Gilgeous-Alexander,37:10,10,22,.455,1,2,.500,12,13,.923,1,1,2,6,2,0,2,0,33,+14,37:10,.595,.477,.091,.591,2.6,3.5,3.0,40.6,2.7,0.0,6.7,36.8,121,107,12.4
Jalen Williams,35:34,6,18,.333,0,2,.000,8,10,.800,3,2,5,3,3,0,0,4,20,+17,35:34,.446,.333,.111,.556,8.1,7.3,7.8,16.9,4.3,0.0,0.0,29.0,106,102,2.3
Luguentz Dort,33:17,5,12,.417,3,7,.429,1,2,.500,2,3,5,1,2,0,1,4,14,+11,33:17,.543,.542,.583,.167,5.8,11.7,8.3,5.8,3.0,0.0,7.2,19.2,105,103,1.3
Chet Holmgren,33:05,4,8,.500,1,2,.500,6,6,1.000,1,4,5,2,1,2,0,4,15,+8,33:05,.705,.563,.250,.750,2.9,15.7,8.3,11.1,1.5,7.6,0.0,14.8,152,102,6.5
Josh Giddey,24:51,2,8,.250,0,4,.000,1,2,.500,1,7,8,4,1,0,1,0,5,+1,24:51,.282,.250,.500,.250,3.9,36.5,17.8,27.5,2.0,0.0,10.1,18.3,75,99,-2.3
Isaiah Joe,22:10,1,3,.333,1,2,.500,2,2,1.000,0,5,5,5,1,0,0,4,5,+12,22:10,.644,.500,.667,.667,0.0,29.3,12.4,36.3,2.3,0.0,0.0,8.0,157,100,6.4
Cason Wallace,12:33,0,1,.000,0,0,,0,0,,1,2,3,0,1,0,1,2,0,-15,12:33,.000,.000,.000,.000,7.6,20.7,13.2,0.0,4.0,0.0,50.0,7.3,36,98,-8.9
Aaron Wiggins,12:26,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,1,0,5,-14,12:26,1.250,1.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,11.1,118,114,1.4
Jaylin Williams,11:38,2,3,.667,1,2,.500,0,0,,0,1,1,0,0,2,1,1,5,+2,11:38,.833,.833,.667,.000,0.0,11.2,4.7,0.0,0.0,21.7,25.0,15.8,100,100,5.8
Kenrich Williams,9:38,0,2,.000,0,2,.000,0,0,,0,3,3,0,1,0,1,1,0,-1,9:38,.000,.000,1.000,.000,0.0,40.4,17.2,0.0,5.3,0.0,33.3,14.3,0,90,-13.2
Vasilije Micić,7:38,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-10,7:38,.000,.000,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0,114,-18.2
Dāvis Bertāns,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Tre Mann,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Olivier Sarr,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Lindy Waters III,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,32,81,.395,8,24,.333,30,35,.857,9,28,37,21,12,4,8,20,102,,240,.529,.444,.296,.432,18.0,75.7,42.5,65.6,12.7,10.5,7.7,100.0,107.5,102.3,
