Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scottie Barnes,40:42,6,14,.429,1,3,.333,9,9,1.000,5,7,12,8,0,6,5,2,22,+2,40:42,.612,.464,.214,.643,14.7,15.3,15.1,33.8,0.0,11.6,21.8,25.5,118,112,7.0
RJ Barrett,37:01,12,18,.667,0,2,.000,5,6,.833,1,8,9,1,0,1,2,3,29,-9,37:01,.703,.667,.111,.333,3.2,19.2,12.4,6.7,0.0,2.1,8.8,27.7,127,115,1.1
Immanuel Quickley,37:01,3,13,.231,2,6,.333,0,0,,0,5,5,10,2,0,4,1,8,-9,37:01,.308,.308,.462,.000,0.0,12.0,6.9,41.7,2.8,0.0,23.5,20.8,77,114,-8.0
Gary Trent Jr.,23:36,2,6,.333,2,4,.500,0,0,,0,0,0,2,1,0,1,1,6,-2,23:36,.500,.500,.667,.000,0.0,0.0,0.0,13.2,2.2,0.0,14.3,13.4,95,121,-6.1
Jontay Porter,5:48,0,2,.000,0,0,,0,0,,0,2,2,0,0,1,0,1,0,-7,5:48,.000,.000,.000,.000,0.0,30.7,17.6,0.0,0.0,13.6,0.0,15.6,0,102,-18.0
Thaddeus Young,26:15,5,8,.625,0,0,,2,2,1.000,2,4,6,4,3,0,0,1,12,0,26:15,.676,.625,.000,.250,9.1,13.5,11.7,28.3,5.9,0.0,0.0,15.3,156,106,10.0
Dennis Schröder,21:59,3,9,.333,1,3,.333,4,4,1.000,1,1,2,3,1,0,2,1,11,-15,21:59,.511,.389,.333,.444,5.5,4.0,4.6,23.0,2.3,0.0,15.7,26.3,104,119,-5.3
Bruce Brown,21:03,3,5,.600,1,2,.500,0,0,,0,3,3,2,0,0,2,3,7,-1,21:03,.700,.700,.400,.000,0.0,12.7,7.3,16.2,0.0,0.0,28.6,15.0,94,119,-8.2
Gradey Dick,14:35,0,1,.000,0,1,.000,0,0,,1,2,3,0,0,0,1,0,0,+5,14:35,.000,.000,1.000,.000,8.2,12.2,10.5,0.0,0.0,0.0,50.0,6.2,31,120,-14.5
Chris Boucher,12:00,1,3,.333,1,2,.500,2,2,1.000,2,3,5,1,0,0,0,1,5,-4,12:00,.644,.500,.667,.667,20.0,22.2,21.3,12.9,0.0,0.0,0.0,14.6,160,115,2.2
Kira Lewis Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen McDaniels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jordan Nwora,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Otto Porter Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,35,79,.443,8,23,.348,22,23,.957,12,35,47,31,7,8,17,14,100,,240,.561,.494,.291,.291,30.0,64.8,50.0,88.6,7.5,13.1,16.0,100.0,107.1,115.7,
