Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Malcolm Brogdon,35:14,5,12,.417,2,4,.500,6,6,1.000,0,2,2,7,0,1,7,2,18,-8,35:14,.615,.500,.333,.500,0.0,6.2,3.1,31.6,0.0,2.1,32.3,25.8,98,115,-4.4
Jabari Walker,33:47,6,14,.429,2,7,.286,0,0,,6,7,13,0,0,1,1,0,14,-7,33:47,.500,.500,.500,.000,18.9,22.6,20.8,0.0,0.0,2.2,6.7,18.7,110,112,-1.8
Anfernee Simons,33:08,5,12,.417,4,9,.444,3,4,.750,0,3,3,5,0,1,4,3,17,-15,33:08,.618,.583,.750,.333,0.0,9.9,4.9,24.3,0.0,2.2,22.5,22.5,105,114,-1.3
Jerami Grant,29:48,6,10,.600,4,5,.800,2,4,.500,0,5,5,1,1,1,1,0,18,-8,29:48,.765,.800,.500,.400,0.0,18.3,9.0,5.9,1.6,2.4,7.8,18.0,132,109,8.7
Deandre Ayton,27:04,2,7,.286,0,0,,1,2,.500,2,5,7,2,0,0,3,2,5,-9,27:04,.317,.286,.000,.286,7.9,20.2,13.9,10.6,0.0,0.0,27.6,16.9,68,114,-11.8
Scoot Henderson,25:56,7,18,.389,2,6,.333,3,3,1.000,0,4,4,7,1,0,1,5,19,+17,25:56,.492,.444,.333,.167,0.0,16.8,8.3,53.9,1.8,0.0,4.9,32.9,116,110,2.1
Duop Reath,20:44,3,5,.600,2,3,.667,2,2,1.000,1,3,4,3,1,1,2,3,10,+7,20:44,.850,.800,.600,.400,5.1,15.8,10.4,23.1,2.3,3.5,25.4,16.0,135,106,8.9
Matisse Thybulle,19:54,3,6,.500,2,5,.400,0,0,,1,2,3,1,1,1,0,2,8,+8,19:54,.667,.667,.833,.000,5.4,11.0,8.1,8.1,2.4,3.7,0.0,12.7,142,108,7.2
Toumani Camara,14:25,0,2,.000,0,0,,0,0,,2,3,5,1,2,0,0,2,0,+5,14:25,.000,.000,.000,.000,14.8,22.7,18.7,9.0,6.6,0.0,0.0,5.8,85,99,-0.1
Ibou Badji,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Taze Moore,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Kris Murray,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Rayan Rupert,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,86,.430,18,39,.462,17,21,.810,12,34,46,27,6,6,19,19,109,,240,.572,.535,.453,.244,26.7,77.3,51.7,73.0,6.0,9.1,16.6,100.0,108.8,110.8,
