Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brandon Ingram,30:38,8,18,.444,0,2,.000,2,2,1.000,1,4,5,6,0,0,1,1,18,+20,30:38,.477,.444,.111,.111,3.6,12.3,8.2,19.8,0.0,0.0,5.0,26.0,116,121,-8.0
CJ McCollum,29:13,11,17,.647,9,13,.692,2,3,.667,1,4,5,2,1,1,2,3,33,+17,29:13,.901,.912,.765,.176,3.7,12.9,8.6,7.8,1.5,2.9,9.8,27.9,151,114,14.5
Zion Williamson,26:48,8,12,.667,0,0,,1,2,.500,1,2,3,11,0,0,2,2,17,+6,26:48,.660,.667,.000,.167,4.1,7.0,5.7,43.1,0.0,0.0,13.4,22.3,145,121,4.7
Herbert Jones,25:48,8,9,.889,4,4,1.000,2,2,1.000,2,3,5,5,1,1,0,4,22,+13,25:48,1.113,1.111,.444,.222,8.5,10.9,9.8,20.6,1.7,3.3,0.0,15.4,225,114,19.8
Jonas Valančiūnas,23:16,7,13,.538,1,5,.200,2,4,.500,3,9,12,3,0,0,1,2,17,+20,23:16,.576,.577,.385,.308,14.1,36.4,26.1,13.6,0.0,0.0,6.3,27.2,128,117,-1.7
Trey Murphy III,24:43,6,14,.429,2,10,.200,0,1,.000,1,3,4,2,0,0,0,2,14,+23,24:43,.485,.500,.714,.071,4.4,11.4,8.2,8.0,0.0,0.0,0.0,23.4,112,121,-9.0
Larry Nance Jr.,19:35,5,6,.833,1,2,.500,1,1,1.000,0,8,8,3,1,1,1,2,12,+6,19:35,.932,.917,.333,.167,0.0,38.4,20.6,15.4,2.3,4.4,13.4,15.2,163,108,10.8
Dyson Daniels,17:20,0,2,.000,0,1,.000,0,0,,0,5,5,3,1,0,0,2,0,+13,17:20,.000,.000,.500,.000,0.0,27.1,14.6,13.8,2.6,0.0,0.0,4.6,97,113,-4.6
Naji Marshall,16:32,1,3,.333,1,1,1.000,0,0,,1,1,2,4,1,0,1,3,3,+12,16:32,.500,.500,.333,.000,6.6,5.7,6.1,20.3,2.7,0.0,25.0,9.7,130,115,-0.8
Jordan Hawkins,16:29,2,4,.500,2,4,.500,0,0,,0,2,2,0,0,1,0,1,6,+9,16:29,.750,.750,1.000,.000,0.0,11.4,6.1,0.0,0.0,5.2,0.0,9.7,145,116,-0.4
Jose Alvarado,4:49,3,5,.600,3,4,.750,0,0,,0,2,2,0,0,0,1,0,9,+3,4:49,.900,.900,.800,.000,0.0,39.1,21.0,0.0,0.0,0.0,16.7,50.0,117,117,19.8
Cody Zeller,4:49,1,1,1.000,0,0,,0,0,,2,2,4,2,0,0,0,2,2,+3,4:49,1.000,1.000,.000,.000,45.3,39.1,42.0,39.8,0.0,0.0,0.0,8.3,224,116,17.8
Team Totals,240,60,104,.577,23,46,.500,10,15,.667,12,45,57,41,5,4,9,24,153,,240,.692,.688,.442,.144,27.3,88.2,60.0,68.3,4.7,7.1,7.5,100.0,143.8,116.5,
