Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jalen Johnson,36:15,8,16,.500,2,6,.333,3,5,.600,1,8,9,6,1,0,0,4,21,-6,36:15,.577,.563,.375,.313,2.6,24.6,12.7,28.0,1.3,0.0,0.0,20.9,131,133,3.0
Dejounte Murray,33:13,7,19,.368,2,7,.286,7,8,.875,3,4,7,7,1,0,2,2,23,-13,33:13,.511,.421,.368,.421,8.5,13.4,10.8,35.0,1.5,0.0,8.2,30.7,115,136,0.8
Bogdan Bogdanović,32:31,6,11,.545,4,9,.444,1,1,1.000,0,0,0,3,1,0,1,1,17,-6,32:31,.743,.727,.818,.091,0.0,0.0,0.0,14.7,1.5,0.0,8.0,15.9,134,139,1.0
Saddiq Bey,26:41,6,12,.500,3,6,.500,3,3,1.000,3,4,7,3,1,0,0,0,18,-13,26:41,.676,.625,.500,.250,10.6,16.7,13.4,19.1,1.8,0.0,0.0,20.8,149,134,9.1
Clint Capela,24:40,3,9,.333,0,0,,5,7,.714,3,8,11,1,0,1,0,2,11,-4,24:40,.455,.333,.000,.778,11.4,36.2,22.8,5.9,0.0,3.4,0.0,20.4,114,132,-6.1
Onyeka Okongwu,25:17,3,5,.600,0,1,.000,0,0,,2,5,7,1,0,1,3,3,6,-17,25:17,.600,.600,.200,.000,7.4,22.1,14.1,5.7,0.0,3.3,37.5,13.2,82,134,-12.1
Patty Mills,21:37,5,11,.455,3,6,.500,0,0,,1,1,2,3,1,0,2,0,13,-13,21:37,.591,.591,.545,.000,4.4,5.2,4.7,23.9,2.2,0.0,15.4,25.0,104,136,0.6
Garrison Mathews,20:09,1,7,.143,0,6,.000,1,2,.500,0,0,0,1,0,0,1,3,3,-23,20:09,.190,.143,.857,.286,0.0,0.0,0.0,6.5,0.0,0.0,11.3,18.3,45,141,-23.8
Trent Forrest,14:47,0,1,.000,0,0,,0,0,,0,0,0,5,2,0,1,1,0,-9,14:47,.000,.000,.000,.000,0.0,0.0,0.0,41.6,6.6,0.0,50.0,5.6,94,127,-1.2
Seth Lundy,2:54,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,0,0,-2,2:54,.000,.000,.000,.000,0.0,77.0,35.2,0.0,0.0,0.0,0.0,14.3,0,126,-19.5
AJ Griffin,1:56,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-4,1:56,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0,142,-52.4
Team Totals,240,39,94,.415,14,43,.326,20,26,.769,13,32,45,30,7,2,10,16,112,,240,.531,.489,.457,.277,25.5,74.4,47.9,76.9,7.1,3.4,8.7,100.0,113.0,135.2,
