Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Brook Lopez,34:44,3,7,.429,0,1,.000,2,2,1.000,5,4,9,3,1,1,1,1,8,+13,34:44,.508,.429,.143,.286,16.1,13.2,14.6,10.1,1.4,2.6,11.3,10.8,130,115,-0.2
Damian Lillard,34:34,8,21,.381,2,9,.222,10,11,.909,0,1,1,4,2,0,2,1,28,+8,34:34,.542,.429,.429,.524,0.0,3.3,1.6,16.4,2.7,0.0,7.2,34.1,113,115,-0.3
Giannis Antetokounmpo,34:33,16,24,.667,1,1,1.000,2,3,.667,2,16,18,10,0,2,2,3,35,+11,34:33,.691,.688,.042,.125,6.5,52.9,29.4,61.0,0.0,5.2,7.3,33.5,142,110,19.6
Khris Middleton,31:59,8,15,.533,1,4,.250,7,8,.875,2,3,5,5,2,0,0,3,24,+16,31:59,.648,.567,.267,.533,7.0,10.7,8.8,22.7,3.0,0.0,0.0,24.5,149,113,8.3
Malik Beasley,27:34,3,5,.600,3,5,.600,0,0,,0,1,1,1,1,0,1,3,9,+10,27:34,.900,.900,1.000,.000,0.0,4.1,2.0,4.4,1.7,0.0,16.7,9.2,140,117,0.5
Bobby Portis,25:19,2,6,.333,0,1,.000,4,4,1.000,0,6,6,0,0,0,1,1,8,-4,25:19,.515,.333,.167,.667,0.0,27.1,13.4,0.0,0.0,0.0,11.4,14.7,99,118,-8.2
Jae Crowder,17:36,1,2,.500,1,2,.500,0,0,,1,2,3,1,0,0,3,2,3,-2,17:36,.750,.750,1.000,.000,6.3,13.0,9.6,6.5,0.0,0.0,60.0,12.0,72,120,-9.1
Pat Connaughton,17:27,2,4,.500,2,3,.667,0,0,,0,1,1,0,2,0,0,1,6,-4,17:27,.750,.750,.750,.000,0.0,6.5,3.2,0.0,5.4,0.0,0.0,9.7,147,108,5.1
Cameron Payne,13:26,2,6,.333,1,3,.333,0,0,,0,2,2,0,1,0,1,1,5,+2,13:26,.417,.417,.500,.000,0.0,17.0,8.4,0.0,3.5,0.0,14.3,22.1,72,111,-9.8
Thanasis Antetokounmpo,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-6.8
A.J. Green,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-7.2
Andre Jackson Jr.,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-6.6
Robin Lopez,0:42,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0:42,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,122,-6.0
Team Totals,240,45,90,.500,11,29,.379,25,28,.893,10,36,46,24,9,3,11,16,126,,240,.616,.561,.322,.311,23.3,85.7,54.1,53.3,8.9,5.7,9.7,100.0,124.1,114.2,
