Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
D'Angelo Russell,37:43,10,18,.556,8,13,.615,1,2,.500,0,0,0,4,1,1,2,3,29,+7,37:43,.768,.778,.722,.111,0.0,0.0,0.0,12.6,1.3,2.5,9.6,24.7,133,135,2.5
Anthony Davis,36:06,10,18,.556,0,1,.000,2,5,.400,5,6,11,6,0,1,0,1,22,+13,36:06,.545,.556,.056,.278,20.8,21.6,21.2,20.1,0.0,2.6,0.0,24.9,136,132,-1.8
LeBron James,35:42,10,19,.526,3,4,.750,2,2,1.000,0,4,4,12,2,0,5,2,25,+14,35:42,.629,.605,.211,.105,0.0,14.5,7.8,40.8,2.7,0.0,20.1,31.0,121,130,0.6
Austin Reaves,33:13,7,9,.778,2,3,.667,4,4,1.000,0,3,3,8,0,0,1,4,20,+14,33:13,.929,.889,.333,.444,0.0,11.7,6.3,27.0,0.0,0.0,8.5,15.8,183,136,4.3
Taurean Prince,30:18,5,8,.625,4,7,.571,0,0,,0,4,4,2,2,0,0,3,14,-2,30:18,.875,.875,.875,.000,0.0,17.1,9.2,7.0,3.1,0.0,0.0,11.8,167,128,4.7
Jarred Vanderbilt,26:50,8,11,.727,1,1,1.000,0,1,.000,0,5,5,0,3,1,2,2,17,0,26:50,.743,.773,.091,.091,0.0,24.2,13.0,0.0,5.3,3.5,14.9,22.3,110,119,0.3
Rui Hachimura,19:21,3,3,1.000,2,2,1.000,2,2,1.000,0,3,3,2,1,0,1,3,10,+4,19:21,1.289,1.333,.667,.667,0.0,20.1,10.8,10.9,2.4,0.0,20.5,11.2,192,129,6.9
Christian Wood,11:54,0,1,.000,0,0,,2,2,1.000,0,0,0,0,0,1,0,3,2,-4,11:54,.532,.000,.000,2.000,0.0,0.0,0.0,0.0,0.0,7.9,0.0,7.0,120,135,-10.9
Max Christie,8:53,0,0,,0,0,,2,2,1.000,0,0,0,1,1,0,1,0,2,-1,8:53,1.136,,,,0.0,0.0,0.0,10.2,5.3,0.0,53.2,9.4,130,127,2.0
Jaxson Hayes,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jalen Hood-Schifino,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Cam Reddish,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,53,87,.609,20,31,.645,15,20,.750,5,25,30,35,10,4,12,21,141,,240,.736,.724,.356,.230,15.6,67.6,43.5,66.0,9.9,7.8,11.1,100.0,139.1,130.2,
