Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Joel Embiid,31:17,11,20,.550,2,4,.500,7,10,.700,1,6,7,3,0,0,2,1,31,-20,31:17,.635,.600,.200,.500,3.1,24.9,12.5,18.3,0.0,0.0,7.6,34.4,119,127,4.1
Tyrese Maxey,28:30,7,17,.412,1,8,.125,7,7,1.000,0,1,1,2,0,1,1,2,22,-29,28:30,.548,.441,.471,.412,0.0,4.6,2.0,11.1,0.0,2.6,4.7,30.1,108,129,-4.2
Nicolas Batum,21:30,4,5,.800,2,3,.667,0,0,,0,3,3,1,0,0,1,2,10,-14,21:30,1.000,1.000,.600,.000,0.0,18.1,7.8,6.8,0.0,0.0,16.7,11.4,149,128,0.2
Kelly Oubre Jr.,21:30,2,5,.400,0,2,.000,0,1,.000,1,1,2,2,1,3,0,4,4,-14,21:30,.368,.400,.400,.200,4.6,6.0,5.2,11.9,2.0,10.3,0.0,10.3,96,119,-2.1
Patrick Beverley,19:03,1,6,.167,0,3,.000,2,3,.667,0,3,3,5,0,1,2,3,4,-15,19:03,.273,.167,.500,.500,0.0,20.4,8.8,31.9,0.0,3.9,21.5,19.9,68,125,-11.4
KJ Martin,30:51,4,6,.667,0,1,.000,3,6,.500,1,2,3,2,2,0,2,4,11,+4,30:51,.637,.667,.167,1.000,3.2,8.4,5.4,8.7,2.8,0.0,18.8,14.0,109,124,-4.5
Danuel House Jr.,18:52,4,6,.667,0,0,,2,3,.667,1,1,2,1,2,1,2,2,10,-7,18:52,.683,.667,.000,.500,5.2,6.9,5.9,8.0,4.7,3.9,21.5,20.1,109,118,1.2
Paul Reed,16:43,3,5,.600,1,2,.500,0,0,,1,5,6,1,3,0,1,2,7,+8,16:43,.700,.700,.400,.000,5.9,38.8,20.0,8.6,7.9,0.0,16.7,14.6,118,107,5.2
Jaden Springer,14:49,2,3,.667,0,0,,4,4,1.000,0,2,2,0,0,0,0,0,8,-3,14:49,.840,.667,.000,1.333,0.0,17.5,7.5,0.0,0.0,0.0,0.0,13.1,175,129,-0.3
Furkan Korkmaz,12:55,1,2,.500,0,1,.000,0,1,.000,0,1,1,2,1,0,0,0,2,+12,12:55,.410,.500,.500,.500,0.0,10.0,4.3,19.4,3.4,0.0,0.0,7.7,106,123,-1.4
Ricky Council IV,12:00,3,6,.500,1,1,1.000,4,6,.667,1,0,1,0,1,0,0,0,11,+9,12:00,.637,.583,.167,1.000,8.2,0.0,4.7,0.0,3.7,0.0,0.0,29.3,131,124,6.0
Terquavion Smith,12:00,0,6,.000,0,4,.000,2,2,1.000,0,0,0,5,3,0,1,0,2,+9,12:00,.145,.000,.667,.333,0.0,0.0,0.0,47.6,11.0,0.0,12.7,26.7,58,108,-3.2
Tobias Harris,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Marcus Morris,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,42,87,.483,7,29,.241,31,43,.721,6,25,31,24,13,6,12,20,122,,240,.576,.523,.333,.494,12.2,67.6,36.0,57.1,11.9,9.2,10.2,100.0,111.5,122.5,
