Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
James Harden,34:58,8,14,.571,2,7,.286,4,4,1.000,0,10,10,13,1,1,1,3,22,+27,34:58,.698,.643,.500,.286,0.0,25.9,14.4,48.2,1.4,2.1,6.0,19.9,155,102,13.7
Kawhi Leonard,30:30,7,13,.538,2,4,.500,0,0,,1,6,7,3,1,2,1,0,16,+11,30:30,.615,.615,.308,.000,3.7,17.8,11.6,12.8,1.6,4.9,7.1,19.1,125,104,6.1
Terance Mann,28:38,3,6,.500,0,1,.000,0,0,,1,2,3,2,0,0,0,1,6,+20,28:38,.500,.500,.167,.000,4.0,6.3,5.3,7.8,0.0,0.0,0.0,8.7,125,114,-4.5
Paul George,28:19,6,15,.400,3,9,.333,6,7,.857,0,2,2,1,1,2,2,0,21,+13,28:19,.581,.500,.600,.467,0.0,6.4,3.6,4.5,1.7,5.3,10.0,29.5,112,107,2.4
Mason Plumlee,25:13,6,12,.500,0,0,,0,0,,4,8,12,3,0,0,1,1,12,+19,25:13,.500,.500,.000,.000,18.1,28.7,24.0,15.6,0.0,0.0,7.7,21.4,118,106,-0.7
Russell Westbrook,25:58,7,14,.500,0,2,.000,6,6,1.000,3,2,5,3,2,2,0,3,20,-2,25:58,.601,.500,.143,.429,13.2,7.0,9.7,15.8,3.7,5.8,0.0,26.6,143,101,10.8
Norman Powell,25:46,6,13,.462,2,7,.286,3,4,.750,0,4,4,0,1,0,2,2,17,-2,25:46,.576,.538,.538,.308,0.0,14.1,7.8,0.0,1.9,0.0,11.9,27.0,103,107,-4.9
Amir Coffey,19:16,1,2,.500,0,1,.000,3,3,1.000,0,2,2,2,0,0,1,6,5,0,19:16,.753,.500,.500,1.500,0.0,9.4,5.2,10.9,0.0,0.0,23.1,9.3,133,110,-7.3
Daniel Theis,18:16,3,4,.750,0,0,,0,0,,2,2,4,1,0,0,2,1,6,+6,18:16,.750,.750,.000,.000,12.5,9.9,11.1,6.6,0.0,0.0,33.3,13.6,110,112,-4.5
Brandon Boston Jr.,1:33,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2,+4,1:33,1.000,1.000,.000,.000,73.7,0.0,32.6,0.0,0.0,0.0,0.0,26.8,209,116,28.9
Bones Hyland,1:33,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,0,0,0,+4,1:33,.000,.000,1.000,.000,0.0,0.0,0.0,64.5,0.0,0.0,0.0,26.8,59,116,-15.9
P.J. Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,48,95,.505,9,32,.281,22,24,.917,12,38,50,29,6,7,10,17,127,,240,.602,.553,.337,.253,28.6,71.7,52.6,60.4,6.0,10.9,8.7,100.0,126.8,106.8,
