Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Vince Williams Jr.,35:48,3,9,.333,3,8,.375,2,4,.500,0,5,5,4,0,2,1,4,11,+2,35:48,.511,.500,.889,.444,0.0,15.6,8.1,14.1,0.0,5.7,8.5,14.5,108,114,-3.4
Jaren Jackson Jr.,35:24,13,30,.433,1,5,.200,3,4,.750,3,5,8,2,1,1,3,3,30,+5,35:24,.472,.450,.167,.133,10.2,15.8,13.1,11.1,1.4,2.9,8.6,43.4,94,113,-6.1
Luke Kennard,29:53,5,11,.455,5,10,.500,0,0,,0,5,5,6,1,0,3,1,15,-8,29:53,.682,.682,.909,.000,0.0,18.7,9.7,28.4,1.7,0.0,21.4,20.7,114,113,3.1
Santi Aldama,28:56,6,9,.667,2,5,.400,0,0,,2,5,7,5,0,0,1,2,14,-2,28:56,.778,.778,.556,.000,8.3,19.3,14.0,25.9,0.0,0.0,10.0,15.3,151,117,6.1
John Konchar,26:07,3,5,.600,1,2,.500,0,0,,1,0,1,2,3,2,1,2,7,+8,26:07,.700,.700,.400,.000,4.6,0.0,2.2,10.1,5.8,7.8,16.7,10.1,125,103,5.1
Ziaire Williams,29:46,7,10,.700,3,6,.500,0,0,,0,4,4,5,2,0,3,3,17,-1,29:46,.850,.850,.600,.000,0.0,15.0,7.8,26.3,3.4,0.0,23.1,19.3,127,110,7.4
David Roddy,17:07,1,4,.250,0,1,.000,1,2,.500,3,7,10,3,0,0,1,2,3,+4,17:07,.307,.250,.250,.500,21.0,45.7,33.8,21.5,0.0,0.0,17.0,15.2,101,111,-5.7
Jacob Gilyard,13:09,0,3,.000,0,3,.000,0,0,,0,1,1,2,1,0,0,0,0,-3,13:09,.000,.000,1.000,.000,0.0,8.5,4.4,17.4,3.8,0.0,0.0,10.1,45,111,-11.7
Xavier Tillman Sr.,12:40,2,7,.286,0,1,.000,1,2,.500,0,2,2,0,1,2,0,2,5,-4,12:40,.317,.286,.143,.286,0.0,17.6,9.1,0.0,4.0,16.1,0.0,27.5,68,98,-9.0
GG Jackson II,11:10,2,2,1.000,0,0,,1,1,1.000,0,0,0,1,0,0,0,2,5,+4,11:10,1.025,1.000,.000,.500,0.0,0.0,0.0,12.9,0.0,0.0,0.0,9.6,216,121,-0.2
Jake LaRavia,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Derrick Rose,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress
Team Totals,240,42,90,.467,15,41,.366,8,13,.615,9,34,43,30,9,7,13,21,107,,240,.559,.550,.456,.144,22.5,79.1,51.8,71.4,9.4,14.9,12.0,100.0,112.3,111.2,
