Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Fred VanVleet,38:53,4,12,.333,1,9,.111,4,6,.667,0,4,4,8,1,0,4,5,13,+8,38:53,.444,.375,.750,.500,0.0,11.8,5.2,30.8,1.2,0.0,21.5,19.0,90,102,-4.4
Dillon Brooks,38:35,7,18,.389,1,7,.143,4,4,1.000,1,4,5,2,1,0,2,6,19,-3,38:35,.481,.417,.389,.222,2.3,11.8,6.5,8.8,1.2,0.0,9.2,22.4,99,102,-2.9
Jalen Green,33:18,5,14,.357,4,9,.444,5,5,1.000,1,9,10,1,1,0,1,3,19,+6,33:18,.586,.500,.643,.357,2.7,30.9,15.2,4.8,1.4,0.0,5.8,20.5,123,102,5.3
Alperen Sengun,27:30,6,13,.462,0,1,.000,3,4,.750,5,6,11,2,0,0,3,2,15,-7,27:30,.508,.462,.077,.308,16.5,24.9,20.2,13.2,0.0,0.0,16.9,25.6,101,105,-0.3
Jeff Green,16:03,1,5,.200,0,1,.000,0,0,,0,2,2,0,0,0,1,0,2,-15,16:03,.200,.200,.200,.000,0.0,14.2,6.3,0.0,0.0,0.0,16.7,14.8,37,106,-12.6
Cam Whitmore,28:57,6,16,.375,3,7,.429,4,4,1.000,3,6,9,1,0,1,0,1,19,+3,28:57,.535,.469,.438,.250,9.4,23.7,15.7,6.1,0.0,4.1,0.0,24.3,125,102,7.8
Aaron Holiday,18:03,3,6,.500,0,0,,0,0,,1,2,3,1,0,0,2,2,6,+1,18:03,.500,.500,.000,.000,5.0,12.7,8.4,9.2,0.0,0.0,25.0,17.6,83,105,-7.1
Jae'Sean Tate,17:21,3,5,.600,0,1,.000,0,0,,1,4,5,2,0,0,1,5,6,+3,17:21,.600,.600,.200,.000,5.2,26.3,14.6,19.3,0.0,0.0,16.7,13.7,114,103,-1.2
Amen Thompson,15:24,2,3,.667,1,2,.500,0,0,,1,3,4,2,3,2,2,3,5,-1,15:24,.833,.833,.667,.000,5.9,22.3,13.1,20.3,9.0,15.6,40.0,12.9,107,73,15.6
Jock Landale,5:56,0,2,.000,0,0,,0,0,,2,0,2,1,0,0,1,2,0,-5,5:56,.000,.000,.000,.000,30.5,0.0,17.0,21.9,0.0,0.0,33.3,20.0,50,104,-18.2
Reggie Bullock,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Nate Hinton,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Boban Marjanović,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jermaine Samuels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,94,.394,10,37,.270,20,23,.870,15,40,55,20,6,3,17,29,104,,240,.499,.447,.394,.245,28.3,95.2,57.9,54.1,5.7,7.5,14.0,100.0,99.6,101.5,
