Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jimmy Butler,36:02,11,20,.550,1,3,.333,5,6,.833,4,4,8,4,3,0,0,2,28,-7,36:02,.618,.575,.150,.300,12.4,13.0,12.7,20.2,4.3,0.0,0.0,29.3,138,130,10.2
Tyler Herro,35:24,7,18,.389,4,11,.364,0,0,,0,1,1,3,0,0,1,2,18,-17,35:24,.500,.500,.611,.000,0.0,3.3,1.6,12.9,0.0,0.0,5.3,25.0,99,142,-6.6
Bam Adebayo,33:12,6,10,.600,0,0,,0,0,,3,10,13,1,0,0,2,1,12,-20,33:12,.600,.600,.000,.000,10.1,35.3,22.4,4.5,0.0,0.0,16.7,16.8,109,134,-6.2
Terry Rozier,32:16,4,12,.333,0,2,.000,2,2,1.000,0,5,5,7,0,0,2,1,10,-14,32:16,.388,.333,.167,.167,0.0,18.1,8.9,29.7,0.0,0.0,13.4,21.5,92,138,-9.2
Haywood Highsmith,21:03,3,5,.600,2,4,.500,0,0,,1,3,4,2,0,2,0,2,8,+4,21:03,.800,.800,.800,.000,5.3,16.7,10.9,13.4,0.0,8.4,0.0,11.1,166,132,7.7
Duncan Robinson,26:26,6,14,.429,5,11,.455,2,2,1.000,0,1,1,3,1,0,3,4,19,-11,26:26,.638,.607,.786,.143,0.0,4.4,2.2,18.1,2.0,0.0,16.8,31.5,106,137,-0.6
Jaime Jaquez Jr.,23:41,1,3,.333,1,2,.500,3,4,.750,0,1,1,4,2,1,0,4,6,-18,23:41,.630,.500,.667,1.333,0.0,4.9,2.4,20.8,4.4,3.8,0.0,9.4,154,128,4.0
Caleb Martin,15:44,2,4,.500,1,3,.333,1,2,.500,0,3,3,0,0,1,0,2,6,-2,15:44,.615,.625,.750,.500,0.0,22.3,10.9,0.0,0.0,5.6,0.0,14.4,119,133,-3.1
Kevin Love,13:50,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,0,0,0,2,-3,13:50,.500,.500,.500,.000,0.0,16.9,8.3,18.5,0.0,0.0,0.0,6.7,133,139,-2.4
Nikola Jović,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4,1:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,143,-11.0
Orlando Robinson,1:11,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+4,1:11,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,143,-10.8
Thomas Bryant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Josh Richardson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,88,.466,14,37,.378,13,16,.813,8,30,38,26,6,4,8,18,109,,240,.573,.545,.420,.182,18.6,73.2,45.2,63.4,6.5,7.4,7.8,100.0,117.6,134.9,
