Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Lauri Markkanen,35:38,12,18,.667,7,12,.583,2,2,1.000,3,9,12,3,1,0,2,5,33,+19,35:38,.874,.861,.667,.111,9.9,28.2,19.2,11.3,1.4,0.0,9.6,24.8,159,122,9.5
Collin Sexton,35:21,9,19,.474,3,7,.429,3,5,.600,2,2,4,13,2,0,3,0,24,+19,35:21,.566,.553,.368,.263,6.6,6.3,6.5,44.4,2.8,0.0,12.4,29.0,132,124,3.3
John Collins,31:45,9,13,.692,1,4,.250,1,2,.500,3,7,10,0,0,2,0,4,20,+10,31:45,.720,.731,.308,.154,11.1,24.6,18.0,0.0,0.0,5.0,0.0,18.5,153,122,-2.3
Simone Fontecchio,27:11,2,6,.333,1,4,.250,0,0,,1,2,3,3,1,0,0,1,5,+8,27:11,.417,.417,.667,.000,4.3,8.2,6.3,10.9,1.8,0.0,0.0,9.3,129,125,-5.9
Kris Dunn,16:41,3,4,.750,1,1,1.000,0,0,,2,2,4,6,1,1,1,1,7,+5,16:41,.875,.875,.250,.000,14.0,13.4,13.7,39.8,2.9,4.8,20.0,12.7,171,118,14.1
Jordan Clarkson,31:19,6,15,.400,1,5,.200,1,1,1.000,1,0,1,2,0,0,0,3,14,+7,31:19,.453,.433,.333,.067,3.7,0.0,1.8,7.2,0.0,0.0,0.0,20.9,115,131,-14.6
Kelly Olynyk,17:41,2,2,1.000,1,1,1.000,1,2,.500,1,8,9,8,1,0,4,2,6,+1,17:41,1.042,1.250,.500,1.000,6.6,50.5,29.1,46.6,2.8,0.0,58.1,16.5,119,115,7.3
Walker Kessler,16:15,5,6,.833,0,0,,0,0,,1,3,4,0,0,3,2,1,10,+2,16:15,.833,.833,.000,.000,7.2,20.6,14.1,0.0,0.0,14.8,25.0,20.8,110,115,-1.2
Ochai Agbaji,15:30,2,5,.400,1,3,.333,0,0,,1,1,2,2,0,0,0,0,5,-4,15:30,.500,.500,.600,.000,7.6,7.2,7.4,13.5,0.0,0.0,0.0,13.6,139,130,-4.4
Keyonte George,12:39,2,5,.400,1,4,.250,5,5,1.000,0,0,0,1,0,0,1,1,10,-7,12:39,.694,.500,.800,1.000,0.0,0.0,0.0,8.5,0.0,0.0,12.2,27.4,139,131,-6.6
Talen Horton-Tucker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Luka Šamanić,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Omer Yurtseven,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,52,93,.559,17,41,.415,13,17,.765,15,34,49,38,6,6,13,18,134,,240,.667,.651,.441,.183,36.6,79.1,58.3,73.1,6.1,10.0,11.5,100.0,136.0,123.8,
