Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Scottie Barnes,37:36,8,14,.571,0,0,,8,8,1.000,1,3,4,8,0,2,5,2,24,-11,37:36,.685,.571,.000,.571,2.8,7.5,5.3,33.2,0.0,3.8,22.2,24.6,124,129,1.1
Bruce Brown,36:46,4,12,.333,1,2,.500,2,2,1.000,4,5,9,2,2,1,0,4,11,-22,36:46,.427,.375,.167,.167,11.4,12.8,12.1,7.3,2.6,1.9,0.0,14.4,120,122,-4.6
Dennis Schröder,29:09,5,12,.417,1,4,.250,3,4,.750,0,3,3,6,4,0,4,6,14,+7,29:09,.509,.458,.333,.333,0.0,9.7,5.1,30.2,6.5,0.0,22.5,25.0,97,116,-5.1
Gary Trent Jr.,26:13,6,12,.500,4,8,.500,0,0,,0,1,1,0,2,0,1,5,16,-19,26:13,.667,.667,.667,.000,0.0,3.6,1.9,0.0,3.6,0.0,7.7,20.3,118,125,-2.3
Thaddeus Young,22:01,2,3,.667,0,0,,0,0,,1,3,4,1,0,0,0,2,4,-18,22:01,.667,.667,.000,.000,4.7,12.8,9.0,6.0,0.0,0.0,0.0,5.6,157,129,-7.1
Jordan Nwora,30:50,7,16,.438,3,7,.429,7,8,.875,3,6,9,6,1,0,1,4,24,+11,30:50,.615,.531,.438,.500,10.2,18.3,14.4,31.0,1.5,0.0,4.9,27.3,143,123,5.9
Gradey Dick,25:03,5,12,.417,3,5,.600,2,3,.667,3,2,5,3,1,0,2,3,15,+19,25:03,.563,.542,.417,.250,12.5,7.5,9.9,18.3,1.9,0.0,13.1,25.1,117,127,-2.2
Jontay Porter,19:18,3,6,.500,3,4,.750,3,4,.750,2,5,7,3,2,0,0,2,12,+14,19:18,.773,.750,.667,.667,10.8,24.4,17.9,22.2,4.9,0.0,0.0,16.5,176,113,14.8
Chris Boucher,13:04,1,2,.500,0,1,.000,3,3,1.000,1,3,4,0,0,0,1,2,5,+14,13:04,.753,.500,.500,1.500,8.0,21.6,15.1,0.0,0.0,0.0,23.1,13.6,130,125,-8.8
Jalen McDaniels,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Otto Porter Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Garrett Temple,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,41,89,.461,15,31,.484,28,32,.875,15,31,46,29,12,3,14,30,125,,240,.606,.545,.348,.360,32.6,60.8,47.4,70.7,11.8,4.4,12.0,100.0,123.4,124.4,
