Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Miles Bridges,38:54,10,20,.500,1,6,.167,0,2,.000,1,9,10,5,3,1,3,2,21,-22,38:54,.503,.525,.300,.100,2.8,28.5,14.9,25.0,4.1,2.6,12.6,29.4,96,115,1.6
Brandon Miller,38:48,11,19,.579,3,6,.500,4,5,.800,1,6,7,3,0,1,1,1,29,-19,38:48,.684,.658,.316,.263,2.8,19.0,10.4,15.9,0.0,2.6,4.5,27.4,134,126,7.1
Nick Richards,37:14,2,2,1.000,0,0,,1,4,.250,4,4,8,1,0,2,3,3,5,-13,37:14,.665,1.000,.000,2.000,11.7,13.2,12.4,3.7,0.0,5.5,44.4,8.7,92,124,-9.8
P.J. Washington,35:07,7,19,.368,2,9,.222,0,0,,0,2,2,2,0,1,1,0,16,-12,35:07,.421,.421,.474,.000,0.0,7.0,3.3,10.0,0.0,2.9,5.0,27.3,85,127,-8.0
Cody Martin,30:48,5,10,.500,3,5,.600,1,1,1.000,0,6,6,8,1,0,5,2,14,-3,30:48,.670,.650,.500,.100,0.0,24.0,11.3,42.7,1.7,0.0,32.4,24.0,103,123,1.8
Leaky Black,11:55,0,0,,0,0,,0,0,,0,3,3,1,0,0,0,0,0,+1,11:55,,,,,0.0,31.0,14.6,10.9,0.0,0.0,,0.0,230,126,-5.3
Nick Smith Jr.,11:42,2,5,.400,2,4,.500,0,0,,0,0,0,0,0,0,0,0,6,+1,11:42,.600,.600,.800,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.5,114,131,-1.8
Frank Ntilikina,11:11,0,1,.000,0,0,,0,0,,1,1,2,0,0,0,0,3,0,-11,11:11,.000,.000,.000,.000,9.8,11.0,10.3,0.0,0.0,0.0,0.0,4.3,62,129,-16.4
Ish Smith,11:11,0,1,.000,0,0,,0,0,,0,0,0,3,0,0,0,1,0,-11,11:11,.000,.000,.000,.000,0.0,0.0,0.0,34.8,0.0,0.0,0.0,4.3,112,131,-8.6
Nathan Mensah,6:01,0,0,,0,0,,0,0,,1,0,1,0,0,1,0,1,0,-7,6:01,,,,,18.1,0.0,9.6,0.0,0.0,17.0,,0.0,223,117,-5.0
JT Thor,2:23,0,2,.000,0,1,.000,1,2,.500,1,0,1,0,0,0,0,0,1,-3,2:23,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.1,0,130,-36.6
James Bouknight,2:23,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0,-3,2:23,.000,.000,.000,.000,0.0,51.6,24.3,0.0,0.0,0.0,0.0,20.1,0,123,-25.0
Bryce McGowens,2:23,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3,2:23,.174,.000,.500,1.000,45.8,0.0,24.3,0.0,0.0,0.0,0.0,57.9,61,131,-36.9
Team Totals,240,37,81,.457,11,32,.344,7,14,.500,9,32,41,23,4,6,13,14,92,,240,.528,.525,.395,.173,20.5,82.1,49.4,62.2,4.4,12.8,13.0,100.0,101.3,124.4,
