Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Kelly Oubre Jr.,31:12,11,20,.550,0,5,.000,3,3,1.000,2,4,6,1,0,0,1,3,25,-18,31:12,.586,.550,.250,.150,7.7,18.6,12.6,7.7,0.0,0.0,4.5,31.4,123,141,-2.1
Patrick Beverley,30:22,5,10,.500,0,3,.000,4,4,1.000,0,1,1,5,1,0,2,2,14,-25,30:22,.595,.500,.300,.400,0.0,4.8,2.2,27.2,1.7,0.0,14.5,19.9,119,140,-1.7
Paul Reed,24:17,5,8,.625,1,1,1.000,0,1,.000,3,3,6,3,1,2,2,3,11,-19,24:17,.652,.688,.125,.125,14.8,18.0,16.2,21.9,2.1,7.1,19.2,18.9,121,132,4.2
Nicolas Batum,24:11,1,5,.200,1,4,.250,0,0,,3,1,4,1,0,0,0,1,3,-19,24:11,.300,.300,.800,.000,14.9,6.0,10.9,5.7,0.0,0.0,0.0,9.1,106,144,-8.1
Tobias Harris,20:23,3,9,.333,0,3,.000,3,4,.750,1,3,4,1,0,0,0,0,9,-12,20:23,.418,.333,.333,.444,5.9,21.4,12.9,7.9,0.0,0.0,0.0,23.2,104,140,-7.6
Marcus Morris,21:43,3,7,.429,1,3,.333,2,2,1.000,0,2,2,0,0,0,3,1,9,-2,21:43,.571,.500,.429,.286,0.0,13.4,6.1,0.0,0.0,0.0,27.6,22.0,84,142,-12.3
Mo Bamba,18:44,2,4,.500,0,2,.000,0,0,,0,5,5,1,1,3,0,5,4,-5,18:44,.500,.500,.500,.000,0.0,38.8,17.5,8.0,2.7,13.7,0.0,9.4,117,122,-0.3
KJ Martin,17:33,2,4,.500,0,0,,2,2,1.000,0,1,1,1,0,0,2,5,6,-13,17:33,.615,.500,.000,.500,0.0,8.3,3.7,8.7,0.0,0.0,29.1,17.2,94,143,-14.1
Danuel House Jr.,15:46,0,1,.000,0,1,.000,2,2,1.000,0,1,1,2,0,0,0,1,2,-5,15:46,.532,.000,1.000,2.000,0.0,9.2,4.2,16.5,0.0,0.0,0.0,5.2,150,143,-4.7
Furkan Korkmaz,9:49,0,3,.000,0,2,.000,2,2,1.000,0,0,0,1,0,0,1,2,2,-2,9:49,.258,.000,.667,.667,0.0,0.0,0.0,13.2,0.0,0.0,20.5,21.8,58,145,-22.5
Ricky Council IV,9:06,2,4,.500,0,0,,4,4,1.000,2,0,2,0,1,0,0,0,8,-5,9:06,.694,.500,.000,1.000,26.4,0.0,14.5,0.0,5.6,0.0,0.0,27.8,162,133,14.8
Terquavion Smith,9:06,1,4,.250,1,4,.250,0,0,,0,0,0,1,1,0,1,1,3,-5,9:06,.375,.375,1.000,.000,0.0,0.0,0.0,16.6,5.6,0.0,20.0,24.1,74,132,-8.5
Jaden Springer,7:48,2,4,.500,1,1,1.000,3,4,.750,1,1,2,0,1,0,2,1,8,0,7:48,.694,.625,.250,1.000,15.4,18.6,16.9,0.0,6.5,0.0,25.8,43.7,107,126,4.3
Team Totals,240,37,83,.446,5,29,.172,25,28,.893,12,22,34,17,6,5,14,25,104,,240,.546,.476,.349,.337,30.0,66.7,46.6,45.9,6.4,8.9,12.8,100.0,110.4,137.9,
