Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Devin Vassell,34:59,9,19,.474,1,5,.200,5,6,.833,1,4,5,4,0,1,5,1,24,-3,34:59,.555,.500,.263,.316,3.3,13.7,8.5,17.9,0.0,2.2,18.8,32.2,97,123,-7.6
Tre Jones,32:31,5,12,.417,1,2,.500,0,0,,0,2,2,8,0,0,0,0,11,-6,32:31,.458,.458,.167,.000,0.0,7.4,3.6,33.2,0.0,0.0,0.0,15.6,121,126,-5.0
Victor Wembanyama,30:46,9,19,.474,0,4,.000,4,4,1.000,3,8,11,4,1,3,4,1,22,-12,30:46,.530,.474,.211,.211,11.4,31.2,21.2,21.5,1.6,7.7,16.2,34.0,102,112,-0.3
Jeremy Sochan,26:17,1,7,.143,0,2,.000,0,0,,2,3,5,1,1,0,0,2,2,-4,26:17,.143,.143,.286,.000,8.9,13.7,11.3,4.4,1.8,0.0,0.0,11.3,61,120,-14.7
Julian Champagnie,20:00,1,2,.500,1,1,1.000,0,1,.000,0,1,1,1,0,2,1,0,3,+2,20:00,.615,.750,.500,.500,0.0,6.0,3.0,5.9,0.0,7.9,29.1,7.3,85,122,-4.2
Keldon Johnson,30:41,5,10,.500,2,5,.400,2,2,1.000,0,5,5,3,3,0,2,1,14,-4,30:41,.643,.600,.500,.200,0.0,19.6,9.7,13.3,4.7,0.0,15.5,17.8,113,113,1.1
Cedi Osman,28:32,8,12,.667,4,6,.667,0,0,,2,1,3,2,2,0,0,1,20,-5,28:32,.833,.833,.500,.000,8.2,4.2,6.2,11.4,3.4,0.0,0.0,17.8,164,120,10.9
Dominick Barlow,14:17,1,3,.333,0,0,,2,2,1.000,1,1,2,5,0,0,1,6,4,+10,14:17,.515,.333,.000,.667,8.2,8.4,8.3,42.4,0.0,0.0,20.5,14.5,127,124,-3.9
Blake Wesley,11:59,2,4,.500,1,1,1.000,2,2,1.000,0,1,1,2,3,1,1,3,7,+2,11:59,.717,.625,.250,.500,0.0,10.0,4.9,22.9,12.1,6.6,17.0,20.8,129,94,15.3
Doug McDermott,9:56,2,4,.500,2,4,.500,0,0,,1,0,1,1,0,0,0,2,6,-5,9:56,.750,.750,1.000,.000,11.8,0.0,6.0,14.5,0.0,0.0,0.0,17.0,156,127,3.0
Team Totals,240,43,92,.467,12,30,.400,15,17,.882,10,26,36,31,10,7,14,17,113,,240,.568,.533,.326,.185,24.4,65.0,44.4,72.1,10.1,11.5,12.3,100.0,113.8,118.8,
