Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bruce Brown,37:37,7,13,.538,1,3,.333,4,4,1.000,1,6,7,3,3,2,2,3,19,+18,37:37,.644,.577,.231,.308,3.5,21.9,12.6,11.2,3.9,5.9,11.9,19.3,123,102,3.1
Scottie Barnes,36:31,4,14,.286,0,3,.000,5,6,.833,1,3,4,7,1,0,5,1,13,+10,36:31,.391,.286,.214,.429,3.7,11.3,7.4,24.4,1.3,0.0,23.1,25.7,85,114,-11.2
Dennis Schröder,33:54,5,11,.455,0,1,.000,6,7,.857,1,2,3,10,2,1,6,2,16,+6,33:54,.568,.455,.091,.636,3.9,8.1,6.0,39.4,2.9,3.3,29.9,25.7,106,108,-2.4
Gary Trent Jr.,32:15,9,15,.600,6,11,.545,0,0,,0,5,5,1,1,0,2,1,24,+12,32:15,.800,.800,.733,.000,0.0,21.3,10.5,5.0,1.5,0.0,11.8,22.8,124,112,4.9
Thaddeus Young,31:37,8,13,.615,0,1,.000,0,0,,4,2,6,6,0,0,1,5,16,+15,31:37,.615,.615,.077,.000,16.9,8.7,12.8,29.5,0.0,0.0,7.1,19.2,139,117,-0.4
Gradey Dick,20:07,0,1,.000,0,1,.000,0,0,,0,3,3,4,1,0,0,2,0,+2,20:07,.000,.000,1.000,.000,0.0,20.5,10.1,22.2,2.4,0.0,0.0,2.2,142,110,-1.0
Jordan Nwora,18:51,5,7,.714,4,5,.800,3,3,1.000,0,2,2,0,0,1,0,2,17,-6,18:51,1.022,1.000,.714,.429,0.0,14.6,7.2,0.0,0.0,5.9,0.0,19.1,192,112,14.2
Jalen McDaniels,14:02,3,6,.500,2,3,.667,0,0,,1,2,3,2,1,0,1,1,8,+6,14:02,.667,.667,.500,.000,9.5,19.5,14.5,20.9,3.5,0.0,14.3,21.6,122,108,6.1
Chris Boucher,7:27,2,2,1.000,1,1,1.000,0,0,,0,2,2,0,0,0,1,1,5,-5,7:27,1.250,1.250,.500,.000,0.0,36.8,18.1,0.0,0.0,0.0,33.3,17.4,105,113,3.4
Jontay Porter,4:36,0,0,,0,0,,0,0,,1,1,2,1,1,0,1,1,0,-7,4:36,,,,,29.0,29.8,29.4,24.3,10.7,0.0,100.0,9.4,89,89,3.5
Garrett Temple,3:03,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+4,3:03,.000,.000,.000,.000,0.0,45.0,22.2,0.0,0.0,0.0,0.0,14.2,0,111,-27.4
Otto Porter Jr.,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,43,83,.518,14,29,.483,18,20,.900,9,29,38,34,10,4,19,20,118,,240,.643,.602,.349,.241,25.0,82.9,53.5,79.1,10.2,9.3,17.1,100.0,120.8,109.6,
