Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Bilal Coulibaly,37:00,8,16,.500,1,4,.250,2,3,.667,2,2,4,2,1,2,1,2,19,-9,37:00,.548,.531,.250,.188,5.6,5.1,5.3,7.5,1.3,3.7,5.5,20.4,117,129,0.5
Kyle Kuzma,29:20,11,22,.500,2,4,.500,3,3,1.000,0,2,2,0,0,1,2,2,27,-11,29:20,.579,.545,.182,.136,0.0,6.4,3.4,0.0,0.0,2.3,7.9,35.5,110,132,-0.6
Tyus Jones,28:59,2,9,.222,0,3,.000,0,0,,0,4,4,7,0,0,3,1,4,-18,28:59,.222,.222,.333,.000,0.0,13.0,6.8,27.8,0.0,0.0,25.0,17.0,65,130,-15.2
Deni Avdija,26:20,5,11,.455,1,2,.500,2,3,.667,0,5,5,3,1,1,2,2,13,-33,26:20,.528,.500,.182,.273,0.0,17.9,9.4,15.2,1.8,2.6,14.0,22.4,102,122,-0.6
Daniel Gafford,22:27,2,5,.400,0,0,,2,2,1.000,4,4,8,2,1,5,1,3,6,-16,22:27,.510,.400,.000,.400,18.6,16.8,17.6,10.5,2.2,15.3,14.5,12.6,122,114,4.2
Corey Kispert,26:59,6,11,.545,3,8,.375,1,2,.500,0,2,2,1,0,0,1,1,16,-13,26:59,.673,.682,.727,.182,0.0,7.0,3.7,5.2,0.0,0.0,7.8,19.7,128,133,0.1
Marvin Bagley III,17:57,5,7,.714,0,0,,0,0,,3,5,8,2,0,0,1,1,10,-10,17:57,.714,.714,.000,.000,17.4,26.2,22.1,16.9,0.0,0.0,12.5,18.3,140,124,4.8
Delon Wright,13:34,2,5,.400,0,2,.000,0,0,,0,0,0,0,0,0,0,1,4,-11,13:34,.400,.400,.400,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,87,136,-13.1
Patrick Baldwin Jr.,12:20,1,6,.167,1,4,.250,0,0,,2,4,6,0,0,0,1,3,3,+7,12:20,.250,.250,.667,.000,16.9,30.5,24.1,0.0,0.0,0.0,14.3,23.4,64,122,-19.3
Johnny Davis,12:00,1,3,.333,0,1,.000,0,2,.000,0,1,1,1,0,1,0,2,2,+11,12:00,.258,.333,.333,.667,0.0,7.8,4.1,9.8,0.0,5.7,0.0,13.3,68,129,-9.1
Anthony Gill,7:35,1,1,1.000,1,1,1.000,0,0,,0,2,2,0,1,0,1,0,3,+10,7:35,1.500,1.500,1.000,.000,0.0,24.8,13.1,0.0,6.4,0.0,50.0,10.9,111,110,7.5
Jules Bernard,5:27,1,1,1.000,0,0,,0,0,,1,2,3,1,0,0,0,1,2,+13,5:27,1.000,1.000,.000,.000,19.1,34.5,27.2,24.3,0.0,0.0,0.0,7.6,207,121,8.4
Jordan Poole,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,45,97,.464,9,29,.310,10,15,.667,12,33,45,19,4,10,13,19,109,,240,.526,.510,.299,.155,26.1,64.7,46.4,42.2,4.0,14.3,11.1,100.0,110.0,126.1,
