Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Aaron Nesmith,36:37,6,13,.462,3,6,.500,2,2,1.000,1,5,6,1,1,0,2,6,17,+2,36:37,.612,.577,.462,.154,2.9,11.1,7.6,3.8,1.3,0.0,12.6,18.6,111,114,-2.1
Pascal Siakam,35:27,8,19,.421,1,3,.333,1,2,.500,4,3,7,5,0,1,5,5,18,-10,35:27,.453,.447,.158,.105,12.0,6.9,9.1,21.7,0.0,2.1,20.1,30.2,89,119,-6.0
Buddy Hield,27:56,1,8,.125,1,7,.143,0,0,,1,1,2,0,1,2,0,2,3,-10,27:56,.188,.188,.875,.000,3.8,2.9,3.3,0.0,1.8,5.3,0.0,12.3,50,117,-7.9
Myles Turner,24:12,2,6,.333,0,0,,1,3,.333,0,4,4,1,1,0,1,5,5,-6,24:12,.342,.333,.000,.500,0.0,13.4,7.6,5.2,2.0,0.0,12.0,14.8,68,111,-10.7
Tyrese Haliburton,21:54,6,10,.600,2,6,.333,1,1,1.000,0,4,4,5,0,2,1,1,15,+5,21:54,.718,.700,.600,.100,0.0,14.9,8.4,38.0,0.0,6.7,8.7,22.4,142,112,14.6
Andrew Nembhard,26:06,4,12,.333,1,3,.333,1,2,.500,0,3,3,6,0,0,0,2,10,-9,26:06,.388,.375,.250,.167,0.0,9.4,5.3,31.9,0.0,0.0,0.0,21.2,102,118,-3.3
Jalen Smith,23:48,9,11,.818,2,3,.667,0,1,.000,1,8,9,0,2,2,1,0,20,+2,23:48,.874,.909,.273,.091,4.5,27.3,17.5,0.0,4.1,6.2,8.0,22.5,149,95,19.6
Ben Sheppard,22:05,2,4,.500,1,3,.333,0,0,,0,6,6,1,3,0,2,4,5,+3,22:05,.625,.625,.750,.000,0.0,22.1,12.5,5.8,6.6,0.0,33.3,11.7,83,95,0.7
Obi Toppin,21:55,4,10,.400,2,2,1.000,2,2,1.000,2,1,3,2,1,2,1,0,12,+3,21:55,.551,.500,.200,.200,9.7,3.7,6.3,13.2,2.2,6.7,8.4,23.3,116,115,8.8
Kendall Brown,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Isaiah Jackson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
James Johnson,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
T.J. McConnell,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Jarace Walker,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,42,93,.452,13,33,.394,8,13,.615,9,35,44,21,9,9,13,25,105,,240,.532,.522,.355,.140,20.0,59.3,42.3,50.0,9.2,13.8,11.6,100.0,107.0,111.1,
