Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Jonathan Kuminga,36:58,11,15,.733,1,1,1.000,6,7,.857,1,5,6,4,2,0,2,3,29,+15,36:58,.802,.767,.067,.467,3.8,13.2,9.4,16.4,2.6,0.0,10.0,24.4,147,102,7.3
Stephen Curry,32:16,6,16,.375,4,9,.444,4,4,1.000,0,6,6,6,1,0,3,1,20,+12,32:16,.563,.500,.563,.250,0.0,18.2,10.8,24.1,1.5,0.0,14.5,28.9,107,104,-0.9
Andrew Wiggins,30:07,3,8,.375,1,2,.500,2,2,1.000,0,2,2,0,1,2,0,0,9,+9,30:07,.507,.438,.250,.250,0.0,6.5,3.8,0.0,1.6,7.8,0.0,13.3,103,103,-2.9
Draymond Green,27:42,4,7,.571,1,2,.500,0,0,,2,10,12,6,0,3,4,4,9,+10,27:42,.643,.643,.286,.000,10.2,35.4,25.1,26.6,0.0,12.7,36.4,17.9,105,94,2.3
Klay Thompson,26:52,6,15,.400,2,9,.222,0,0,,0,2,2,0,0,1,0,0,14,+5,26:52,.467,.467,.600,.000,0.0,7.3,4.3,0.0,0.0,4.4,0.0,25.1,90,108,-8.6
Brandin Podziemski,34:04,5,8,.625,0,2,.000,2,2,1.000,1,6,7,14,2,1,0,2,12,+18,34:04,.676,.625,.250,.250,4.1,17.3,11.9,50.6,2.8,3.4,0.0,11.7,172,99,15.9
Lester Quinones,19:05,3,6,.500,2,4,.500,2,2,1.000,1,5,6,1,0,0,2,3,10,+11,19:05,.727,.667,.667,.333,7.4,25.7,18.2,6.5,0.0,0.0,22.5,20.9,114,104,-3.5
Kevon Looney,11:14,4,4,1.000,0,0,,1,3,.333,0,1,1,1,1,0,3,1,9,+8,11:14,.846,1.000,.000,.750,0.0,8.7,5.1,14.8,4.3,0.0,36.1,33.3,88,100,-1.1
Gui Santos,10:46,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,2,4,+5,10:46,1.000,1.000,.000,.000,13.1,9.1,10.7,0.0,0.0,0.0,0.0,8.4,206,109,-2.5
Trayce Jackson-Davis,9:10,2,2,1.000,0,0,,1,2,.500,0,2,2,0,0,1,0,1,5,+2,9:10,.868,1.000,.000,1.000,0.0,21.4,12.6,0.0,0.0,12.8,0.0,14.1,168,99,3.5
Jerome Robinson,1:46,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+5,1:46,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,113,-6.2
Cory Joseph,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,46,83,.554,11,29,.379,18,22,.818,6,40,46,32,7,8,14,17,121,,240,.653,.620,.349,.265,17.6,81.6,55.4,69.6,7.1,19.5,13.1,100.0,122.1,101.9,
