Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Anfernee Simons,36:52,11,23,.478,4,10,.400,3,4,.750,1,3,4,4,2,0,2,2,29,-20,36:52,.586,.565,.435,.174,2.9,9.8,6.1,23.0,3.0,0.0,7.5,34.4,122,135,5.5
Malcolm Brogdon,35:31,5,13,.385,0,2,.000,1,3,.333,3,5,8,6,0,0,0,2,11,-10,35:31,.384,.385,.154,.231,9.0,16.9,12.7,26.8,0.0,0.0,0.0,19.1,113,138,-5.8
Deandre Ayton,26:45,3,6,.500,0,0,,2,2,1.000,1,2,3,1,0,1,0,1,8,-16,26:45,.581,.500,.000,.333,4.0,9.0,6.3,5.7,0.0,3.3,0.0,12.2,138,140,-3.6
Toumani Camara,23:47,3,6,.500,0,2,.000,4,4,1.000,0,2,2,0,2,1,1,1,10,-11,23:47,.644,.500,.333,.667,0.0,10.1,4.7,0.0,4.6,3.7,11.4,17.5,122,129,0.6
Jabari Walker,21:15,3,7,.429,0,1,.000,1,1,1.000,4,4,8,0,0,0,1,2,7,-25,21:15,.470,.429,.143,.143,20.1,22.6,21.3,0.0,0.0,0.0,11.8,18.8,111,136,-10.1
Scoot Henderson,37:09,8,15,.533,3,7,.429,11,12,.917,2,3,5,2,0,0,2,3,30,+7,37:09,.740,.633,.467,.800,5.7,9.7,7.6,9.7,0.0,0.0,9.0,28.4,148,141,4.7
Matisse Thybulle,23:05,1,5,.200,1,4,.250,0,0,,0,1,1,0,1,1,0,2,3,+5,23:05,.300,.300,.800,.000,0.0,5.2,2.4,0.0,2.4,3.8,0.0,10.3,71,136,-7.8
Duop Reath,20:31,3,4,.750,2,2,1.000,2,4,.500,1,3,4,1,1,1,1,3,10,+6,20:31,.868,1.000,.500,1.000,5.2,17.5,11.0,7.8,2.7,4.3,14.8,15.6,150,130,6.6
Kris Murray,13:37,0,1,.000,0,0,,0,0,,1,1,2,0,1,0,1,0,0,+8,13:37,.000,.000,.000,.000,7.8,8.8,8.3,0.0,4.0,0.0,50.0,7.0,37,133,-8.7
Ibou Badji,0:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:44,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,145,-8.3
Justin Minaya,0:44,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2,0:44,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0,145,-7.4
Jerami Grant,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
Team Totals,240,37,80,.463,10,28,.357,24,30,.800,13,24,37,14,7,4,8,16,108,,240,.579,.525,.350,.375,28.9,60.0,43.5,37.8,7.9,7.3,7.9,100.0,122.6,136.2,
