Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,MP,TS%,eFG%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,BPM
Franz Wagner,35:14,5,15,.333,1,7,.143,2,2,1.000,1,6,7,3,2,0,7,1,13,-20,35:14,.409,.367,.467,.133,3.2,19.5,11.4,14.5,2.8,0.0,30.6,29.1,64,122,-11.7
Paolo Banchero,34:29,7,16,.438,1,4,.250,8,12,.667,1,8,9,7,2,0,2,2,23,-23,34:29,.540,.469,.250,.750,3.3,26.5,14.9,38.6,2.9,0.0,8.6,30.2,114,120,7.0
Wendell Carter Jr.,27:53,6,9,.667,2,4,.500,1,2,.500,1,5,6,3,0,0,0,5,15,-22,27:53,.759,.778,.444,.222,4.1,20.5,12.3,20.9,0.0,0.0,0.0,15.9,153,128,5.6
Jalen Suggs,27:49,1,7,.143,1,6,.167,0,0,,0,3,3,4,0,0,0,2,3,-9,27:49,.214,.214,.857,.000,0.0,12.3,6.2,20.7,0.0,0.0,0.0,11.3,74,130,-9.7
Markelle Fultz,27:38,5,10,.500,1,2,.500,2,2,1.000,1,0,1,4,1,1,2,3,13,-9,27:38,.597,.550,.200,.200,4.1,0.0,2.1,26.4,1.8,3.4,15.5,20.9,111,126,1.4
Gary Harris,19:16,3,6,.500,0,3,.000,1,1,1.000,1,0,1,1,1,0,0,1,7,-17,19:16,.543,.500,.500,.167,5.9,0.0,3.0,9.1,2.6,0.0,0.0,15.0,120,127,-1.0
Moritz Wagner,16:19,1,4,.250,0,1,.000,1,2,.500,3,0,3,0,0,1,1,2,3,-4,16:19,.307,.250,.250,.500,21.0,0.0,10.5,0.0,0.0,5.8,17.0,16.1,78,129,-13.4
Joe Ingles,15:05,3,4,.750,3,4,.750,0,0,,0,1,1,1,0,0,0,0,9,+1,15:05,1.125,1.125,1.000,.000,0.0,7.6,3.8,12.5,0.0,0.0,0.0,11.9,198,131,11.7
Cole Anthony,13:37,2,3,.667,0,1,.000,0,0,,0,3,3,0,1,0,2,1,4,-1,13:37,.667,.667,.333,.000,0.0,25.2,12.6,0.0,3.6,0.0,40.0,16.4,65,119,-8.1
Jonathan Isaac,10:12,1,2,.500,1,2,.500,0,0,,0,3,3,1,0,1,2,0,3,-18,10:12,.750,.750,1.000,.000,0.0,33.6,16.8,15.5,0.0,9.2,50.0,17.6,70,119,-0.2
Chuma Okeke,3:07,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,0,0,2,-2,3:07,,,,,0.0,36.7,18.3,44.0,0.0,0.0,100.0,14.4,44,124,-5.3
Goga Bitadze,3:07,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-2,3:07,.000,.000,.000,.000,0.0,36.7,18.3,0.0,0.0,0.0,50.0,28.7,0,124,-34.3
Anthony Black,3:07,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,0,0,-2,3:07,.000,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.4,0,133,-21.0
Caleb Houstan,3:07,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0,-2,3:07,.500,.500,.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.7,94,133,-6.4
Team Totals,240,35,80,.438,10,35,.286,15,21,.714,8,31,39,25,7,3,18,17,95,,240,.532,.500,.438,.263,19.0,73.8,46.4,71.4,7.2,5.9,16.8,100.0,98.3,125.2,
